artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Stretch,Why Did You Do It,0.0554,0.748,211907,0.755,0.0,6,0.0628,-7.28,0,0.0782,98.28399999999999,0.8859999999999999,3.66
The Afghan Whigs,Gentlemen,4.01e-05,0.409,233160,0.8140000000000001,0.000331,7,0.107,-6.284,1,0.0488,108.51899999999999,0.624,3.65
Crime Mob,Knuck If You Buck,0.0582,0.865,205120,0.8440000000000001,0.0,8,0.373,-4.9460000000000015,1,0.311,150.09,0.755,3.6
Everything Everything,A Fever Dream,0.0486,0.552,359213,0.596,0.00018999999999999998,10,0.47600000000000003,-8.151,0,0.0307,107.975,0.184,3.66
Gladys Knight & The Pips,Neither One of Us,0.685,0.511,264267,0.34600000000000003,0.000124,5,0.294,-14.28,1,0.0388,140.29,0.599,3.65
David + David,Welcome to the Boomtown,0.515,0.606,331160,0.4920000000000001,0.000325,7,0.44299999999999995,-13.203,1,0.040999999999999995,119.905,0.55,3.63
The Police,"When the World Is Running Down, You Make the Best of What's Still Around",0.0422,0.768,216667,0.647,0.0010400000000000001,7,0.0947,-7.436,1,0.0685,123.93700000000001,0.802,3.85
The Smashing Pumpkins,Muzzle,7.37e-06,0.25,223920,0.685,0.8220000000000001,10,0.0939,-8.731,0,0.0344,90.315,0.336,3.6
Caifanes,Viento,0.304,0.586,236333,0.855,0.0,11,0.129,-5.947,0,0.0327,124.917,0.44799999999999995,3.9
Crowded House,Better Be Home Soon,0.261,0.4370000000000001,187667,0.373,1.2e-06,0,0.0984,-14.845999999999998,1,0.027999999999999997,93.51899999999999,0.355,3.61
Life Without Buildings,Love Trinity,0.34600000000000003,0.337,262253,0.7090000000000001,0.0,2,0.4320000000000001,-8.715,1,0.0326,107.428,0.28300000000000003,3.73
Blind Mamie Forehand,Honey in the Rock,0.887,0.6,160453,0.271,0.000984,11,0.539,-9.937000000000001,0,0.0358,136.66299999999998,0.48,3.64
Simon & Garfunkel,Fakin' It,0.424,0.47600000000000003,197773,0.501,1.1599999999999999e-05,9,0.16,-11.708,1,0.0372,101.677,0.575,3.65
Bladee,I Chose to Be This Way,0.017,0.5770000000000001,130571,0.616,0.00457,1,0.168,-8.546,1,0.0508,159.972,0.233,3.57
Brand New,Sic Transit Gloria... Glory Fades,0.0124,0.645,186493,0.7040000000000001,0.0,8,0.5429999999999999,-6.02,1,0.0396,92.774,0.758,3.56
Phoenix,Long Distance Call,0.0202,0.752,186160,0.496,1.3300000000000001e-05,0,0.0729,-5.4979999999999976,1,0.0446,104.949,0.677,3.71
The Merry-Go-Round,Live,0.254,0.674,153920,0.7120000000000001,0.132,9,0.0312,-6.966,1,0.027999999999999997,129.289,0.7609999999999999,3.77
Bobbie Gentry,Fancy,0.502,0.618,258913,0.243,0.0,4,0.102,-19.003,0,0.0848,104.37299999999999,0.556,3.7
R.E.M.,Wendell Gee,0.261,0.461,181200,0.23800000000000002,0.000544,0,0.163,-19.867,1,0.0313,72.044,0.561,3.67
Louis Armstrong and His Hot Seven,Wild Man Blues,0.97,0.639,188907,0.21100000000000002,0.675,0,0.43,-9.139,0,0.0558,95.574,0.644,3.72
Slade,Mama Weer All Crazee Now,0.0113,0.42200000000000004,225000,0.955,0.0458,7,0.107,-4.73,0,0.10099999999999999,138.041,0.27,3.62
Goldfrapp,A&E,0.6609999999999999,0.5539999999999999,198560,0.418,0.257,8,0.106,-11.581,1,0.0262,105.985,0.247,3.63
Paul Simon,American Tune,0.818,0.38299999999999995,225133,0.20800000000000002,3.3600000000000004e-05,0,0.18899999999999997,-16.035,1,0.03,84.699,0.21899999999999997,3.73
Broken Bells,The High Road,0.0682,0.61,232200,0.637,6.12e-06,0,0.284,-6.574,1,0.0238,79.955,0.609,3.6
Siouxsie and The Banshees,The Killing Jar,0.483,0.5870000000000001,245147,0.762,9.449999999999999e-05,5,0.17800000000000002,-6.5070000000000014,1,0.0344,140.439,0.527,3.66
Stiff Little Fingers,Gotta Gettaway,0.000323,0.284,215333,0.856,1.13e-05,7,0.0532,-9.118,1,0.0675,191.14700000000002,0.8170000000000001,3.66
Hot Chocolate,Emma,0.317,0.633,232040,0.608,0.00139,2,0.0788,-6.69,1,0.0905,100.625,0.767,3.63
The Cars,Good Times Roll,0.0951,0.607,225853,0.662,8.27e-05,4,0.125,-9.456,1,0.0278,107.64299999999999,0.629,3.59
Helloween,Pumpkins United,3.4200000000000005e-05,0.444,381000,0.987,1.27e-05,7,0.13,-4.785,1,0.106,130.007,0.19899999999999998,3.64
Michael Kiwanuka,Piano Joint,0.8490000000000001,0.466,231587,0.385,0.0018,11,0.159,-8.373,0,0.0307,142.065,0.271,3.76
Marillion,Lavender,0.309,0.331,224160,0.55,0.1,9,0.0875,-6.112,1,0.0311,138.071,0.228,3.61
Iceage,The Lord's Favorite,0.000322,0.235,229000,0.93,0.000106,6,0.11599999999999999,-5.687,0,0.133,119.572,0.355,3.56
Roy Orbison,I Drove All Night,0.655,0.478,226893,0.624,0.00197,5,0.114,-11.16,1,0.0393,138.708,0.579,3.69
Laurie Anderson,Big Science,0.883,0.535,382653,0.174,0.9129999999999999,7,0.107,-14.860999999999999,1,0.0313,74.328,0.134,3.67
Manic Street Preachers,Motown Junk,0.0018399999999999998,0.17800000000000002,239333,0.9490000000000001,0.64,2,0.838,-3.363,1,0.102,169.435,0.122,3.6
Alice in Chains,What the Hell Have I,0.0012699999999999999,0.445,237160,0.917,0.0028,8,0.35600000000000004,-4.683,1,0.0407,100.25399999999999,0.564,3.67
Marillion,Warm Wet Circles,0.25,0.514,265827,0.402,0.0008289999999999999,11,0.243,-11.603,1,0.0331,131.80100000000002,0.142,3.68
David Sylvian,Do You Know Me Now?,0.752,0.516,260620,0.233,1.56e-05,9,0.142,-15.067,1,0.0307,97.90799999999999,0.188,3.76
Janet Jackson,Rock With U,0.126,0.685,231907,0.787,0.0078,9,0.313,-5.9170000000000025,0,0.0329,121.988,0.6809999999999999,3.71
Blood Orange,Charcoal Baby,0.14,0.622,242341,0.46,0.00036899999999999997,7,0.11900000000000001,-8.389,0,0.0372,183.24099999999999,0.514,3.63
Chong the Nomad,Ghosts in the Shower,0.0284,0.887,175357,0.34700000000000003,0.0028399999999999996,1,0.0838,-7.19,1,0.36,75.005,0.7390000000000001,3.72
Kirsty MacColl,He's on the Beach,0.00387,0.33799999999999997,326187,0.847,9.350000000000001e-05,11,0.303,-10.640999999999998,1,0.0462,168.06099999999995,0.877,3.79
Pere Ubu,Street Waves,0.00218,0.41700000000000004,185135,0.593,0.14400000000000002,9,0.345,-9.959,1,0.0345,140.391,0.5379999999999999,3.6
mewithoutYou,Julia,0.000152,0.506,237463,0.6709999999999999,0.7659999999999999,7,0.369,-5.97,0,0.0321,118.03399999999999,0.35200000000000004,3.67
Makthaverskan,Antabus,0.0207,0.16699999999999998,198360,0.838,0.00625,2,0.44,-5.359,1,0.0483,171.69,0.231,3.89
Siouxsie and The Banshees,Melt!,0.013999999999999999,0.276,227507,0.778,9.32e-05,4,0.221,-4.4910000000000005,0,0.0443,115.961,0.332,3.67
King Gizzard and the Lizard Wizard,Sleep Drifter,0.5760000000000001,0.449,284853,0.8370000000000001,0.843,4,0.12300000000000001,-6.6560000000000015,1,0.0398,157.797,0.445,3.62
"Crosby, Stills, Nash & Young",Teach Your Children,0.643,0.4970000000000001,173467,0.285,1.66e-05,2,0.389,-14.537,1,0.0264,154.7,0.667,3.61
Mew,Introducing Palace Players,0.000965,0.5,285960,0.799,0.0979,7,0.10800000000000001,-4.848,1,0.0542,93.03200000000001,0.8109999999999999,3.68
The Beach Boys,The Little Girl I Once Knew,0.389,0.512,156147,0.648,6.79e-06,11,0.11699999999999999,-6.349,1,0.0368,131.726,0.435,3.61
Kansas Joe and Memphis Minnie,When the Levee Breaks,0.98,0.7040000000000001,188693,0.281,0.161,7,0.10300000000000001,-10.623,0,0.0399,96.666,0.478,3.74
Classics IV,Spooky,0.723,0.652,175867,0.44,5.79e-06,0,0.10300000000000001,-11.474,0,0.0315,106.863,0.711,3.71
Hank Williams,Moanin' the Blues,0.89,0.703,145467,0.27,0.0,2,0.243,-11.44,1,0.0353,76.143,0.845,3.72
Blank Banshee,Teen Pregnancy,0.295,0.75,177297,0.9840000000000001,0.373,7,0.163,-4.933,0,0.078,111.00200000000001,0.767,3.67
Wanda Jackson,Let's Have a Party,0.535,0.522,131200,0.9009999999999999,8.47e-06,4,0.17600000000000002,-8.549,1,0.0479,166.886,0.9159999999999999,3.63
The Church,Ripple,0.284,0.547,361933,0.745,0.0139,2,0.462,-9.828,0,0.0259,106.28200000000001,0.47200000000000003,3.79
Iron and Wine,Boy With a Coin,0.12300000000000001,0.66,245466,0.5660000000000001,0.795,0,0.122,-8.255,1,0.0293,125.74700000000001,0.295,3.64
Jacques Dutronc,Mini-mini-mini,0.0166,0.773,114773,0.483,0.0,9,0.0907,-9.302999999999999,1,0.0818,166.11599999999999,0.755,3.76
Bruce Springsteen,The Ghost of Tom Joad,0.43,0.445,263467,0.0975,0.284,11,0.142,-16.906,0,0.0357,88.495,0.0771,3.67
The Bluetones,Slight Return,0.021,0.434,199773,0.909,0.000165,2,0.203,-6.718999999999999,1,0.0396,103.51,0.65,3.66
