,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Flying Lotus,Never Catch Me,3 September ,4.04,0.526,0.936,8,-4.576,1,0.263,0.316,0.000384,0.261,0.283,81.305,234487
1,Pusha T,Nosetalgia,3 February ,4.02,0.529,0.78,5,-3.932,1,0.326,0.0255,0.0,0.14,0.711,80.018,216067
2,Mitski,First Love,15 May ,3.97,0.443,0.545,0,-8.196,1,0.0273,0.000813,0.0137,0.202,0.104,99.914,278640
3,Mac Miller,The Star Room,2014,3.99,0.352,0.676,8,-5.879,1,0.212,0.593,7.79e-05,0.471,0.352,79.138,275283
4,clipping.,Body & Blood,29 April ,3.92,0.648,0.806,1,-6.686,1,0.176,0.00205,8.48e-06,0.328,0.221,101.972,268373
5,Run the Jewels,Blockbuster Night Pt. 1,21 August ,3.67,0.701,0.525,1,-7.938,0,0.382,0.0353,2.55e-06,0.0615,0.385,75.693,152253
6,Deafheaven,From the Kettle Onto the Coil,25 August ,3.66,0.0873,0.902,0,-4.488,1,0.0788,4.51e-06,0.867,0.0996,0.214,86.531,396637
7,Lana Del Rey,Brooklyn Baby,8 June ,3.66,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640
8,Timber Timbre,Hot Dreams,28 January ,3.7,0.55,0.373,9,-8.772,1,0.0314,0.391,0.0551,0.0935,0.33,121.941,293213
9,The Cure,Just Like Heaven,19 April ,3.76,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000
10,The War on Drugs,Eyes to the Wind,November ,3.77,0.491,0.765,2,-7.246,1,0.03,0.109,0.0633,0.0982,0.404,117.483,355960
11,iamamiwhoami,Chasing Kites,2 October ,3.55,0.605,0.651,8,-8.431,1,0.0607,0.0194,0.0292,0.194,0.509,113.186,311690
12,Marina and the Diamonds,Froot,11 November ,3.63,0.614,0.812,7,-5.849,0,0.0416,0.263,1.14e-05,0.102,0.726,120.019,331324
13,SOPHIE,Lemonade,4 August ,3.48,0.829,0.651,1,-5.275,1,0.416,0.296,0.0,0.106,0.844,71.482,118727
14,The Knife,Without You My Life Would Be Boring,20 May ,3.6,0.583,0.684,4,-6.986,0,0.0304,0.156,0.551,0.0586,0.685,144.998,314200
15,Sturgill Simpson,Turtles All the Way Down,April ,3.68,0.553,0.314,4,-9.217,1,0.0396,0.306,0.000578,0.104,0.585,91.7,188187
16,Skepta,That's Not Me,8 June ,3.6,0.827,0.854,0,-3.43,1,0.238,0.334,0.0,0.073,0.869,139.089,185968
17,Sharon Van Etten,Taking Chances,2014,3.65,0.526,0.462,7,-7.722,0,0.0262,0.153,0.0139,0.1,0.75,171.906,230453
18,Arcade Fire,We Exist,26 May ,3.53,0.566,0.495,9,-8.758,1,0.0272,0.00616,0.218,0.173,0.373,116.392,343784
19,Ben Howard,End of the Affair,1 September ,3.79,0.369,0.367,2,-10.665,0,0.0369,0.512,0.203,0.11,0.0496,136.095,466040
20,Tinashe,2 On,21 January ,3.5,0.742,0.595,9,-7.51,1,0.107,0.15,0.0,0.111,0.431,101.013,227000
21,Bobby Shmurda,Hot Boy,25 July ,3.45,0.859,0.5,9,-7.628,1,0.347,0.042,1.6e-05,0.0616,0.186,83.981,194561
22,Rustie,Attak,25 July ,3.51,0.384,0.853,2,-5.412,0,0.275,0.0358,0.0,0.51,0.749,136.813,181107
23,Jamie xx,All Under One Roof Raving,23 June ,3.46,0.815,0.798,1,-11.179,1,0.168,0.0437,0.38,0.117,0.0617,116.824,359930
24,Porter Robinson,Sea of Voices,3 March ,3.66,0.215,0.437,2,-8.103,1,0.0309,0.206,0.576,0.0696,0.0445,127.595,298981
25,iamamiwhoami,Vista,28 April ,3.47,0.453,0.685,0,-6.744,1,0.0368,0.0102,0.00201,0.0927,0.0878,99.972,304319
26,Flying Lotus,"Coronus, the Terminator",17 September ,3.57,0.438,0.529,2,-6.158,0,0.0355,0.19,0.0474,0.138,0.294,79.929,160136
27,Bladee,Dragonfly,18 April ,3.48,0.284,0.647,9,-7.979,1,0.0357,0.2,0.654,0.274,0.301,139.96,143148
