,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Kanye West,Runaway,4 October ,4.22,0.571,0.568,1,-3.827,0,0.0703,0.218,0.0021,0.512,0.109,86.986,547733
1,Kanye West,Power,28 May ,4.03,0.543,0.915,0,-4.746,0,0.113,0.0162,0.0,0.744,0.577,153.998,292093
2,Gorillaz,On Melancholy Hill,26 July ,4.01,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,233867
3,Kanye West,Devil in a New Dress,9 September ,4.0,0.433,0.76,8,-4.935,0,0.0726,0.0175,0.0,0.158,0.205,79.789,351947
4,Deerhunter,Helicopter,22 November ,3.97,0.504,0.718,4,-7.202,1,0.039,0.219,0.503,0.257,0.418,73.984,298173
5,Deerhunter,Desire Lines,2010,3.97,0.318,0.918,2,-6.288,1,0.0373,0.0565,0.293,0.659,0.6,120.567,404413
6,The National,Bloodbuzz Ohio,24 March ,3.91,0.39,0.834,9,-6.367,1,0.0444,0.0554,0.18,0.103,0.684,157.077,275933
7,Florence + The Machine,Cosmic Love,5 July ,3.72,0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,255133
8,Real Estate,Out of Tune,12 October ,3.72,0.407,0.765,9,-6.104,1,0.0313,0.385,0.00271,0.0693,0.689,121.087,291947
9,iamamiwhoami,t,30 June ,3.66,0.521,0.832,4,-9.217,0,0.062,0.00022,0.142,0.182,0.175,127.967,279375
10,The National,Anyone's Ghost,28 June ,3.65,0.745,0.789,6,-7.133,1,0.0915,0.281,0.776,0.108,0.745,120.064,174173
11,Metric,Black Sheep,March ,3.75,0.509,0.646,11,-6.285,0,0.0365,0.00028,0.00468,0.0973,0.142,124.014,297460
12,Belle and Sebastian,I Want the World to Stop,28 September ,3.69,0.585,0.791,0,-7.419,1,0.0741,0.00296,8.12e-05,0.0596,0.548,150.017,273640
13,Deftones,Sextape,5 October ,3.75,0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533
14,M.I.A.,Steppin Up,15 June ,3.87,0.639,0.907,11,-3.529,0,0.147,0.00213,2.82e-06,0.571,0.534,139.985,241400
15,Naomi Elizabeth,God Sent Me Here to Rock You,8 September ,3.54,0.451,0.418,1,-10.56,1,0.0604,0.00189,0.00484,0.331,0.22,175.986,244533
16,Pariah,Detroit Falls,29 March ,3.55,0.716,0.654,7,-7.81,0,0.37,0.00497,0.0041,0.0988,0.535,160.073,211843
17,Daughters,The First Supper,November ,3.8,0.329,0.885,2,-4.358,1,0.0574,2.71e-06,0.00156,0.786,0.233,82.396,197987
18,Girls,Laura,26 January ,3.61,0.265,0.632,4,-6.497,1,0.0367,0.0676,0.00234,0.223,0.504,125.206,291547
19,Two Door Cinema Club,What You Know,15 October ,3.6,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,191707
20,Grouper,Hold,6 October ,3.51,0.28,0.0557,6,-24.887,1,0.0441,0.989,0.918,0.305,0.157,114.167,476627
21,Lil Wayne,6 Foot 7 Foot,16 December ,3.45,0.365,0.751,2,-5.429,1,0.304,0.000707,0.0,0.318,0.604,79.119,248587
22,Sentinels,Love Rhythm,16 August ,3.46,0.739,0.635,0,-5.397,0,0.0641,0.086,0.0137,0.046,0.862,130.009,297236
23,Fuck Buttons,Olympians,12 April ,3.51,0.455,0.922,0,-7.528,1,0.0464,7.12e-05,0.86,0.337,0.207,130.011,654840
24,MGMT,It's Working,26 June ,3.57,0.381,0.954,2,-3.945,1,0.0437,0.0563,0.000835,0.537,0.532,155.103,246280
25,Neon Indian,Deadbeat Summer,2010,3.54,0.635,0.664,0,-5.629,1,0.23,0.00953,0.00045,0.0788,0.707,120.015,242707
26,Florence + The Machine,Heavy in Your Arms,14 November ,3.61,0.324,0.802,9,-5.912,0,0.0673,0.51,0.0022,0.0868,0.296,79.67,285493
27,A Place to Bury Strangers,I Lived My Life to Stand in the Shadow of Your Heart,15 June ,3.68,0.0609,0.802,2,-2.512,1,0.0528,1.91e-05,0.869,0.111,0.146,199.771,338933
28,Two Door Cinema Club,Undercover Martyn,1 March ,3.54,0.442,0.872,2,-5.072,1,0.123,0.00025,1.74e-05,0.0602,0.568,159.867,167773
29,Katie Melua,The Flood,24 May ,3.59,0.346,0.622,6,-6.568,1,0.0351,0.0372,0.0249,0.202,0.186,122.017,243707
30,The Chemical Brothers,Another World,16 August ,3.58,0.776,0.362,8,-6.793,1,0.065,0.0161,0.05,0.119,0.339,118.965,340787
31,Big Boi,Fo Yo Sorrows,8 June ,3.48,0.715,0.697,4,-6.047,0,0.187,0.099,0.0,0.166,0.349,159.239,222080
32,Sleigh Bells,Tell 'Em,2010,3.44,0.447,0.896,0,-4.172,1,0.111,0.0552,0.157,0.329,0.613,62.967,176427
33,Black Rebel Motorcycle Club,Beat the Devil's Tattoo,28 February ,3.66,0.521,0.921,4,-2.744,1,0.0382,0.42,0.0207,0.175,0.707,96.51,225760
34,Keren Ann,My Name Is Trouble,8 November ,3.55,0.58,0.605,1,-10.359,1,0.0296,0.102,0.642,0.197,0.42,114.947,253240
35,The Walkmen,Angela Surf City,30 September ,3.62,0.274,0.902,11,-6.165,0,0.0643,0.000549,0.000146,0.0863,0.339,176.619,203253
36,Marina & the Diamonds,I Am Not a Robot,26 April ,3.41,0.606,0.636,2,-4.559,1,0.0278,0.57,1.65e-06,0.0944,0.452,120.04,214427
37,Florence + The Machine,Hurricane Drunk,22 March ,3.44,0.448,0.869,4,-4.616,1,0.177,0.165,6.25e-05,0.32,0.232,184.042,192720
38,No Age,Glitter,24 August ,3.5,0.214,0.753,5,-6.34,1,0.0578,0.000548,0.836,0.454,0.476,160.697,226880
39,Twin Sister,All Around and Away We Go,22 November ,3.63,0.706,0.621,9,-8.699,1,0.0359,0.371,0.816,0.0937,0.816,101.008,276987
40,Hurts,Wonderful Life,6 August ,3.3,0.695,0.836,11,-7.231,0,0.0584,0.167,0.00157,0.184,0.412,120.023,254133
41,Curren$y,Roasted,21 June ,3.45,0.502,0.673,1,-8.5,1,0.363,0.265,0.0,0.126,0.427,155.474,265091
42,Memoryhouse,Caregiver,9 November ,3.55,0.48,0.314,4,-12.801,0,0.0321,0.931,0.758,0.0894,0.185,120.037,252627
43,Kurt Vile,In My Time,9 November ,3.53,0.58,0.896,1,-7.204,1,0.0346,0.0634,0.474,0.0507,0.835,115.26,227680
44,Bon Iver,Come Talk to Me,17 April ,3.52,0.407,0.693,2,-10.029,1,0.0618,0.902,0.431,0.114,0.35,101.843,377643
45,Front Line Assembly,Shifting Through the Lens,28 May ,3.64,0.518,0.934,6,-8.127,1,0.0378,0.00035,0.847,0.23,0.721,134.989,366147
46,Oneohtrix Point Never,Returnal,30 August ,3.35,0.641,0.714,11,-5.971,0,0.0312,0.536,0.000107,0.087,0.942,136.368,283973
47,Against Me!,I Was a Teenage Anarchist,6 April ,3.54,0.448,0.952,10,-3.477,1,0.0803,0.000603,0.00145,0.109,0.489,152.958,195160
48,Belle and Sebastian,Write About Love,7 September ,3.41,0.612,0.727,7,-5.692,0,0.0268,0.0533,0.0,0.0693,0.773,131.886,173427
49,Forest Swords,Rattling Cage,26 July ,3.38,0.535,0.65,8,-8.051,0,0.0395,0.804,0.452,0.409,0.247,109.985,229933
50,The Drums,Me and the Moon,9 December ,3.67,0.503,0.958,0,-4.943,1,0.037,0.000423,0.00394,0.123,0.793,169.981,192560
51,Washed Out,Washed Out,26 January ,3.45,0.544,0.841,5,-7.167,0,0.0657,0.00189,0.557,0.288,0.51,190.48,253427
52,Brodka,Granda,2010,3.67,0.825,0.837,11,-3.91,0,0.066,0.106,0.000753,0.174,0.784,129.968,211080
53,Underworld,Scribble,13 May ,3.38,0.41,0.839,4,-7.538,1,0.0385,0.000188,0.826,0.638,0.0463,169.967,418307
54,D Double E,Street Fighter Riddim,25 July ,3.33,0.54,0.963,9,-3.12,1,0.53,0.12,0.0,0.262,0.766,89.87,193707
55,Broken Bells,The Ghost Inside,28 June ,3.42,0.869,0.7,2,-4.966,1,0.0419,0.0571,0.414,0.0691,0.983,103.983,198040
56,Soundgarden,Black Rain,16 August ,3.36,0.2,0.882,7,-7.177,1,0.072,0.00129,0.607,0.204,0.275,171.02,325813
57,The Raveonettes,Heart of Stone,6 April ,3.62,0.478,0.982,11,-3.148,1,0.0387,0.0266,0.509,0.87,0.711,128.425,235373
