,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,American Football,Never Meant,2 September ,4.17,0.436,0.819,0,-6.71,1,0.036,0.0171,0.00882,0.117,0.405,144.26,268333
1,Car Seat Headrest,Bodys,2011,4.09,0.518,0.842,2,-7.361,1,0.0533,0.00135,0.0115,0.132,0.249,143.944,406935
2,Kanye West,All of the Lights,18 January ,3.94,0.541,0.803,1,-3.284,1,0.0738,0.0796,1.71e-05,0.176,0.221,142.135,299613
3,John Maus,Hey Moon,November ,3.96,0.573,0.639,0,-7.143,1,0.0247,0.784,0.633,0.0923,0.24,89.575,248707
4,Kendrick Lamar,A.D.H.D,24 August ,3.97,0.609,0.799,9,-6.883,1,0.24,0.33,0.0,0.108,0.582,157.74,215509
5,M83,Midnight City,19 July ,3.86,0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,241440
6,Kendrick Lamar,HiiiPoWeR,12 April ,3.89,0.695,0.827,6,-5.742,0,0.282,0.179,0.0,0.283,0.538,81.024,279855
7,Robyn,Call Your Girlfriend,1 April ,3.69,0.599,0.887,8,-2.377,1,0.11,0.00101,0.0545,0.0716,0.461,125.097,227347
8,Girls,Vomit,8 August ,3.68,0.518,0.592,4,-7.27,0,0.0297,0.00214,0.748,0.1,0.185,117.938,383600
9,Lykke Li,I Follow Rivers,10 October ,3.8,0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,280070
10,Deerhunter,Memory Boy,16 April ,3.72,0.43,0.595,11,-6.722,1,0.0351,7.37e-05,0.489,0.109,0.503,125.073,128973
11,iamamiwhoami,; john,16 May ,3.68,0.506,0.871,7,-6.798,1,0.0407,0.000248,0.865,0.105,0.232,121.522,398695
12,Nujabes,Luv,7 July ,3.81,0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,336867
13,Django Django,Default,9 December ,3.65,0.747,0.875,1,-5.635,1,0.0282,0.00733,1.1e-06,0.184,0.913,115.967,185640
14,Four Tet,Locked,12 September ,3.64,0.783,0.745,4,-11.5,0,0.0839,0.00237,0.17,0.102,0.888,133.193,509539
15,TTNG,"Adventure, Stamina & Anger",10 October ,3.61,0.361,0.904,8,-5.479,0,0.0425,0.00637,0.0013,0.13,0.76,135.296,297700
16,The Antlers,Every Night My Teeth Are Falling Out,23 May ,3.6,0.569,0.773,11,-7.028,0,0.0304,0.0765,0.129,0.147,0.542,134.967,203833
17,*Shels,Butterflies,4 July ,3.94,0.368,0.458,1,-9.45,1,0.0398,0.0232,0.363,0.0844,0.114,142.382,544133
18,Soulja Boy,Zan With That Lean,17 April ,3.52,0.644,0.699,5,-6.68,0,0.0646,0.664,0.0,0.0805,0.844,150.009,185626
19,TR/ST,Candy Walls,29 March ,3.67,0.601,0.459,0,-11.538,0,0.0281,0.0771,0.733,0.148,0.0847,98.009,277774
20,Lana Del Rey,Off to the Races,20 December ,3.5,0.399,0.721,4,-5.562,0,0.0523,0.0621,0.00282,0.278,0.113,160.125,299934
21,Purity Ring,Belispeak,26 August ,3.52,0.72,0.9,0,-5.364,0,0.117,0.0246,0.000178,0.225,0.351,105.004,178707
22,Real Estate,It's Real,10 October ,3.6,0.419,0.856,2,-5.443,1,0.0298,0.00928,0.0964,0.124,0.721,152.009,168493
23,First Aid Kit,The Lion's Roar,28 October ,3.63,0.484,0.531,9,-5.866,0,0.0299,0.165,2.09e-06,0.0969,0.246,123.35,307000
24,The Roots,Make My,17 October ,3.57,0.618,0.691,1,-6.469,0,0.0929,0.015,0.0526,0.0695,0.206,168.017,267373
25,The Raveonettes,Recharge & Revolt,7 March ,3.76,0.399,0.933,8,-1.215,1,0.0414,0.0245,0.0619,0.0659,0.719,136.953,323973
26,Tame Impala,Why Won't You Make Up Your Mind?,14 March ,3.56,0.459,0.835,5,-4.831,1,0.0592,0.0098,0.23,0.327,0.483,129.097,199320
27,Tom Waits,Bad as Me,23 August ,3.49,0.623,0.949,3,-3.954,0,0.113,0.657,0.00135,0.168,0.311,113.528,190400
28,Real Estate,Green Aisles,6 October ,3.55,0.484,0.782,9,-5.407,0,0.0273,0.0581,0.153,0.284,0.565,104.104,301027
29,Glass Candy,Warm in the Winter,1 September ,3.48,0.563,0.748,6,-12.482,1,0.0373,0.0328,0.166,0.0993,0.039,127.203,405213
30,Wild Beasts,Bed of Nails,11 July ,3.57,0.718,0.505,8,-11.653,1,0.0289,0.0485,0.886,0.0931,0.877,117.994,258160
31,TV on the Radio,Will Do,23 February ,3.5,0.563,0.857,2,-3.454,0,0.0364,0.0146,0.00818,0.0681,0.422,79.979,224987
32,HTRK,Eat Yr Heart,16 August ,3.62,0.699,0.519,8,-8.322,1,0.0363,0.475,0.872,0.122,0.31,120.015,217013
33,Battles,My Machines,15 August ,3.52,0.522,0.791,2,-7.436,1,0.105,9.23e-05,0.803,0.123,0.192,149.049,235387
34,John Grant,Where Dreams Go to Die,14 March ,3.78,0.464,0.355,0,-7.096,1,0.03,0.736,0.0275,0.114,0.122,114.709,364000
35,The Drums,How It Ended,28 October ,3.65,0.559,0.689,11,-7.275,0,0.0347,0.166,3.91e-05,0.28,0.416,169.995,260726
36,Washed Out,Eyes Be Closed,25 May ,3.45,0.207,0.878,4,-7.212,1,0.0449,0.00441,0.421,0.341,0.138,89.969,287667
37,El Columpio Asesino,Toro,24 January ,3.59,0.547,0.687,6,-8.705,1,0.026,0.00236,0.695,0.123,0.253,139.98,276747
