,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Arcade Fire,Rebellion,5 September ,4.14,0.401,0.933,8,-5.682,1,0.0344,0.00744,0.627,0.318,0.734,127.193,310893
1,Arcade Fire,Wake Up,14 November ,4.07,0.252,0.8,0,-4.845,1,0.0368,0.12,0.0538,0.118,0.29,139.361,335333
2,Arcade Fire,Neighborhood #3,23 May ,4.07,0.522,0.954,5,-5.018,1,0.0585,0.000543,0.0177,0.0975,0.642,119.87,312907
3,Gorillaz,Feel Good Inc,9 May ,3.97,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640
4,Arcade Fire,Neighborhood #2,28 March ,3.98,0.555,0.876,11,-5.628,0,0.0369,0.0556,0.00503,0.121,0.961,130.703,212000
5,Bloc Party,This Modern Love,2005,3.84,0.453,0.938,0,-5.344,1,0.0386,0.00306,0.00318,0.132,0.261,160.005,265707
6,Amerie,1 Thing,23 May ,3.68,0.612,0.961,10,-3.078,0,0.333,0.107,4.17e-05,0.0413,0.867,129.873,238760
7,Doves,Black and White Town,7 February ,3.82,0.375,0.843,1,-4.982,1,0.0342,0.000382,0.00181,0.0951,0.228,172.167,255693
8,Stars,Your Ex-Lover Is Dead,9 December ,3.77,0.395,0.5,0,-6.794,1,0.031,0.00268,0.0284,0.207,0.333,153.306,256053
9,Animal Collective,Grass,23 September ,3.69,0.209,0.83,2,-5.104,0,0.0903,0.114,9.95e-05,0.319,0.224,177.331,179587
10,My Chemical Romance,Helena,3 March ,3.69,0.356,0.96,4,-3.487,1,0.104,0.0142,0.0,0.209,0.0857,125.921,204733
11,Gorillaz,Dirty Harry,21 November ,3.61,0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,230426
12,Editors,Blood,11 July ,3.59,0.37,0.922,6,-4.833,0,0.054,9.9e-06,0.0938,0.154,0.595,150.001,209400
13,Queens of the Stone Age,In My Head,2005,3.65,0.474,0.923,9,-4.056,1,0.0373,0.01,6.58e-05,0.107,0.398,134.308,241200
14,mewithoutYou,January 1979,5 March ,3.87,0.453,0.956,4,-4.973,1,0.0666,0.0014,0.877,0.0997,0.269,81.529,206440
15,Franz Ferdinand,Walk Away,5 December ,3.64,0.585,0.834,2,-4.411,1,0.0336,0.122,2.75e-06,0.374,0.512,124.117,216333
16,Tegan and Sara,Walking With a Ghost,18 April ,3.6,0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,150293
17,The Strokes,Juicebox,7 November ,3.54,0.462,0.981,2,-2.371,0,0.127,0.00166,0.00894,0.0856,0.547,154.995,194573
18,Paul McCartney,Fine Line,29 August ,3.64,0.746,0.779,2,-5.337,1,0.0329,0.226,0.00026,0.0953,0.51,115.382,185360
19,Against Me!,"Sink, Florida, Sink",8 April ,3.68,0.592,0.34,0,-9.796,1,0.0384,0.66,5.2e-05,0.233,0.155,123.598,160667
20,Beck,Girl,4 July ,3.56,0.685,0.677,3,-6.552,1,0.11,0.0549,0.00332,0.285,0.855,149.421,209893
21,Depeche Mode,A Pain That I'm Used To,19 December ,3.55,0.557,0.767,10,-4.5,1,0.0337,0.355,0.08,0.149,0.152,108.156,250893
22,Low,California,14 February ,3.69,0.713,0.644,1,-8.869,0,0.0318,0.0346,0.103,0.162,0.45,121.985,228197
23,Interpol,Narc,1 June ,3.57,0.559,0.874,7,-2.902,1,0.0341,0.0513,0.554,0.379,0.708,118.436,247907
24,The Go! Team,Bottle Rocket,26 September ,3.6,0.448,0.928,2,-4.0,1,0.071,0.0103,0.07,0.23,0.455,120.294,212133
25,The Game,Dreams,August ,3.56,0.63,0.78,6,-5.353,1,0.221,0.00499,0.0,0.206,0.281,155.779,286453
26,Ian Brown,Time Is My Everything,17 January ,3.74,0.554,0.704,9,-5.953,1,0.0294,0.119,0.000182,0.606,0.18,142.165,232107
27,Franz Ferdinand,Outsiders,May ,3.66,0.637,0.984,7,-3.196,1,0.0374,0.00488,0.0532,0.436,0.923,115.147,242707
28,Skream,Midnight Request Line,October ,3.48,0.814,0.5,1,-14.644,1,0.122,0.00252,0.826,0.286,0.138,139.993,239806
29,U2,City of Blinding Lights,6 June ,3.38,0.444,0.771,8,-4.127,1,0.0304,0.000234,0.0184,0.108,0.198,139.172,345707
30,"Damian ""Jr. Gong"" Marley",Welcome to Jamrock,14 March ,3.5,0.835,0.661,7,-6.502,0,0.333,0.0208,0.0,0.449,0.753,76.723,213200
31,Garbage,Why Do You Love Me,4 April ,3.49,0.469,0.877,7,-2.43,1,0.0378,0.00052,1.85e-05,0.33,0.468,160.038,234227
32,Beck,Hell Yes,1 February ,3.41,0.794,0.72,8,-7.4,1,0.35,0.0818,0.0143,0.0846,0.781,193.958,197907
33,Elbow,Forget Myself,29 August ,3.65,0.535,0.932,2,-2.954,1,0.0282,0.000671,0.00227,0.225,0.554,97.48,322347
34,Oceansize,Heaven Alive,15 August ,3.63,0.448,0.804,5,-8.044,1,0.0378,5.17e-05,0.416,0.704,0.273,91.05,381200
35,The Flaming Lips,Mr. Ambulance Driver,2005,3.52,0.314,0.87,4,-8.714,0,0.076,0.365,0.217,0.332,0.45,128.054,261174
36,Bonnie 'Prince' Billy,I Gave You,26 July ,3.65,0.46,0.19,7,-13.125,0,0.0292,0.886,0.0101,0.101,0.233,80.874,158453
37,Coheed and Cambria,Welcome Home,20 September ,3.4,0.442,0.951,11,-5.27,1,0.11,0.00648,1.12e-06,0.0887,0.158,154.004,374973
38,Audioslave,Be Yourself,6 June ,3.29,0.423,0.845,11,-3.509,0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,278973
39,White Rose Movement,Alsatian,31 October ,3.88,0.466,0.948,1,-4.898,1,0.0521,1.58e-05,0.00531,0.109,0.275,139.979,275667
40,Soulwax,E Talking,17 January ,3.66,0.755,0.872,0,-5.566,0,0.0575,0.024,0.843,0.0758,0.29,129.978,367973
41,10 Years,Wasteland,2005,3.47,0.409,0.783,6,-5.083,0,0.0731,0.000422,0.000354,0.0664,0.313,145.541,229867
42,Candlemass,At the Gallows End,2005,3.88,0.19,0.823,4,-4.52,1,0.0462,0.000316,0.000808,0.0482,0.358,155.406,346747
43,Garbage,Bleed Like Me,June ,3.61,0.706,0.545,1,-7.223,1,0.0251,0.0405,0.000876,0.11,0.422,109.991,241867
44,Autolux,Here Comes Everybody,23 May ,3.67,0.475,0.709,8,-6.848,1,0.0392,0.00114,0.0441,0.0813,0.0845,126.477,317600
45,dEUS,"7 Days, 7 Weeks",2005,3.84,0.641,0.612,0,-7.125,1,0.0307,0.0625,0.0801,0.118,0.544,133.046,233310
46,Within Temptation,Memories,31 January ,3.41,0.432,0.682,10,-7.393,0,0.0275,0.148,2.28e-06,0.187,0.201,90.953,231187
47,Miranda Lambert,Kerosene,2005,3.51,0.628,0.92,7,-3.252,1,0.0287,0.00687,5.34e-05,0.337,0.808,126.998,185800
48,John Cale,Perfect,October ,3.77,0.418,0.803,7,-6.913,1,0.0605,0.0392,0.000166,0.35,0.398,145.383,201053
49,Stars,Reunion,24 October ,3.63,0.611,0.726,0,-4.972,1,0.0317,0.00416,0.00788,0.074,0.697,110.14,221853
50,We Are Scientists,The Great Escape,3 October ,3.43,0.472,0.925,9,-4.57,1,0.0415,0.000305,4.44e-06,0.0755,0.746,146.97,198833
51,Wolfmother,Mind's Eye,17 October ,3.37,0.17,0.613,9,-4.924,0,0.0375,0.223,0.00121,0.0958,0.0399,63.655,294027
52,Ghostface Killah,Be Easy,2005,3.46,0.834,0.754,7,-4.272,1,0.307,0.00505,0.0,0.0981,0.671,95.009,199600
53,Ambulance LTD,Stay Where You Are,2005,3.94,0.478,0.606,11,-7.57,1,0.0444,0.0915,0.463,0.0581,0.209,128.553,354867
54,Spor,Haunt Me,7 March ,3.43,0.456,0.94,0,-4.041,1,0.0761,0.00534,0.825,0.084,0.349,173.012,386667
55,The Bravery,Unconditional,29 August ,3.49,0.435,0.952,4,-4.006,0,0.103,0.00222,0.000674,0.253,0.431,154.959,199493
56,Beck,Black Tambourine,2005,3.31,0.874,0.531,1,-10.163,1,0.0459,0.286,0.892,0.216,0.73,110.005,166173
57,Fairmont,Gazebo,26 October ,3.62,0.566,0.637,4,-8.18,1,0.0937,0.0521,0.302,0.182,0.235,117.984,409879
58,Kelly Clarkson,Behind These Hazel Eyes,12 April ,3.15,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,198973
59,The Bees,Chicken Payback,4 April ,3.62,0.534,0.968,11,-3.093,0,0.0399,0.0906,0.000429,0.239,0.943,142.025,193573
60,Panic! at the Disco,The Only Difference Between Martyrdom and Suicide Is Press Coverage,27 September ,3.21,0.517,0.93,6,-3.902,0,0.216,0.0598,0.0,0.35,0.696,170.068,176933
61,Dream Theater,These Walls,2005,3.43,0.517,0.883,9,-4.973,0,0.077,0.00444,4.43e-06,0.11,0.254,122.128,419573
62,Siena Root,Mountain Songs,7 October ,3.62,0.337,0.885,1,-5.284,1,0.0797,0.328,0.000833,0.34,0.658,90.08,311400
63,I Love You but I've Chosen Darkness,According to Plan,2005,3.66,0.652,0.693,8,-7.174,0,0.0312,0.00779,0.642,0.0979,0.639,145.966,277360
64,Alkaline Trio,Time to Waste,27 June ,3.45,0.51,0.937,6,-6.283,0,0.0575,0.00309,0.000111,0.134,0.178,127.438,251987
65,The Maccabees,X-Ray,28 November ,3.64,0.264,0.948,2,-4.137,1,0.0804,0.00128,0.00132,0.151,0.41,182.44,195747
66,Super Furry Animals,Lazer Beam,6 August ,3.49,0.529,0.9,2,-6.86,1,0.0986,0.0131,0.00503,0.0753,0.635,89.021,298867
67,Katie Melua,Nine Million Bicycles,19 September ,3.16,0.569,0.26,0,-14.688,1,0.0304,0.585,0.00744,0.125,0.35,82.074,194560
68,Gucci Mane,Icy,13 April ,3.12,0.764,0.718,10,-4.618,0,0.0946,0.052,0.0,0.149,0.679,92.098,283773
69,Ben Lee,Catch My Disease,26 April ,3.29,0.756,0.73,11,-5.292,1,0.032,0.0224,1.24e-05,0.139,0.917,115.977,254107
70,Jadakiss,Checkmate,2005,3.71,0.431,0.601,6,-13.392,1,0.273,0.00212,0.0,0.243,0.442,101.828,136499
71,Robyn,Bum Like You,2005,3.32,0.628,0.57,8,-7.172,0,0.225,0.00734,0.00293,0.0854,0.634,66.441,209853
72,Sons and Daughters,Dance Me In,23 May ,3.63,0.533,0.935,0,-5.532,1,0.0765,0.000108,0.0374,0.318,0.582,121.964,161867
73,Daft Punk,Robot Rock,11 April ,3.07,0.59,0.787,7,-5.766,1,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,287720
74,Hot Hot Heat,Middle of Nowhere,July ,3.43,0.568,0.971,7,-3.478,1,0.0543,0.0518,4.24e-05,0.265,0.778,139.27,241333
75,Ciara,"1, 2 Step",7 March ,3.01,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046,203787
76,SebastiAn,Smoking Kills,10 March ,3.25,0.759,0.507,7,-11.579,1,0.401,0.000539,0.02,0.136,0.567,129.98,225933
77,The Pipettes,Judy,August ,3.7,0.248,0.871,1,-2.794,1,0.0639,0.00939,2.85e-06,0.0803,0.514,142.772,170507
