,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,LCD Soundsystem,All My Friends,28 May ,4.15,0.701,0.788,2,-5.611,1,0.0425,0.148,0.625,0.0977,0.795,142.584,462267
1,LCD Soundsystem,Someone Great,22 October ,4.11,0.722,0.894,7,-5.903,1,0.0325,0.0418,0.00374,0.11,0.396,113.003,390013
2,Animal Collective,Fireworks,5 November ,4.05,0.547,0.911,1,-4.861,1,0.0715,0.0178,4.98e-05,0.0884,0.741,165.706,410907
3,Burial,Archangel,2007,4.05,0.624,0.852,1,-10.184,1,0.153,0.428,0.656,0.114,0.512,135.223,238427
4,Joy Division,She's Lost Control,2007,4.19,0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246,237013
5,Kanye West,Flashing Lights,12 November ,4.02,0.639,0.628,6,-7.578,0,0.0399,0.0381,0.0,0.386,0.43,90.482,237507
6,M.I.A.,Jimmy,13 August ,3.71,0.689,0.807,6,-4.551,0,0.0317,0.00258,1.32e-06,0.106,0.822,124.278,208453
7,Rufus Wainwright,Going to a Town,March ,3.82,0.558,0.464,5,-6.869,0,0.0345,0.722,3.95e-06,0.0991,0.194,124.099,244760
8,Muse,Map of the Problematique,18 June ,3.68,0.493,0.959,8,-3.613,1,0.0414,0.000386,0.118,0.254,0.703,125.04,258066
9,Jay Reatard,I Know a Place,May ,3.82,0.222,0.954,0,-4.765,1,0.0617,0.338,0.0,0.439,0.831,174.13,129867
10,Beirut,Elephant Gun,2 July ,3.68,0.171,0.626,8,-8.677,1,0.0486,0.873,0.0252,0.0681,0.457,180.098,348893
11,Public Enemy,Harder Than You Think,2007,3.77,0.484,0.852,11,-4.442,0,0.274,0.0317,0.0,0.0547,0.766,103.578,249522
12,PJ Harvey,When Under Ether,17 September ,3.73,0.33,0.385,5,-13.878,0,0.0338,0.875,0.041,0.101,0.331,205.079,142400
13,Vampire Weekend,Mansard Roof,12 November ,3.59,0.536,0.7,5,-4.284,1,0.141,0.365,0.000107,0.201,0.714,165.406,127667
14,My Chemical Romance,Famous Last Words,22 January ,3.6,0.467,0.883,2,-3.679,0,0.106,0.000321,0.000152,0.125,0.309,122.252,299227
15,Ghostface Killah,The Champ,2007,3.71,0.43,0.997,9,-0.606,0,0.412,0.345,0.0,0.96,0.394,86.305,249307
16,The Dutchess and the Duke,Reservoir Park,October ,3.82,0.659,0.618,9,-4.427,0,0.0277,0.181,0.0,0.305,0.465,96.541,219547
17,Shackleton,Blood on My Hands,21 May ,3.6,0.833,0.431,1,-12.206,1,0.105,0.000114,0.819,0.293,0.0678,128.004,1113960
