,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Frank Ocean,Pyramids,8 June ,4.11,0.4,0.65,5,-6.104,0,0.0466,0.0118,7.62e-05,0.791,0.15,107.989,592920
1,Grimes,Oblivion,20 February ,4.07,0.697,0.529,2,-8.838,1,0.0338,0.115,0.901,0.0895,0.486,155.974,251267
2,Arcade Fire,Sprawl II,21 April ,3.96,0.518,0.81,8,-6.445,1,0.029,0.016,0.0013,0.115,0.179,99.968,325547
3,Kendrick Lamar,Swimming Pools,13 July ,3.96,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800
4,Beach House,Myth,26 March ,3.98,0.448,0.733,3,-6.238,1,0.0292,0.0369,0.0425,0.169,0.407,142.008,258653
5,Xiu Xiu,I Luv the Valley OH!,6 January ,3.96,0.209,0.734,7,-5.668,1,0.0417,0.0501,0.000977,0.288,0.381,116.26,179133
6,Lil B,I Own Swag,5 February ,3.72,0.358,0.833,4,-6.042,0,0.313,0.172,0.0,0.312,0.819,81.461,207567
7,Perfume Genius,Hood,29 February ,3.77,0.329,0.278,7,-12.271,1,0.0373,0.591,0.000145,0.162,0.272,111.316,120093
8,Japandroids,The House That Heaven Built,15 May ,3.69,0.322,0.985,0,-3.494,1,0.14,0.000522,0.00865,0.0964,0.0815,161.195,289150
9,Cloud Nothings,Stay Useless,19 April ,3.74,0.225,0.92,8,-5.751,1,0.0832,0.00756,2.52e-05,0.304,0.631,168.749,166800
10,Solange,Losing You,2 October ,3.74,0.735,0.798,0,-6.175,1,0.127,0.0579,0.0677,0.161,0.464,113.997,260400
11,Chromatics,Cherry,26 November ,3.74,0.656,0.784,7,-6.389,0,0.0354,0.0338,0.233,0.175,0.802,108.245,271952
12,Santigold,Disparate Youth,14 February ,3.75,0.642,0.931,1,-4.142,1,0.0417,0.0131,0.825,0.215,0.548,152.005,284400
13,iamamiwhoami,play,28 March ,3.64,0.273,0.655,8,-7.257,1,0.0733,0.205,0.949,0.0797,0.278,114.121,314840
14,DIIV,Doused,9 May ,3.65,0.379,0.868,5,-4.913,0,0.038,0.0674,0.763,0.0645,0.744,169.984,222973
15,Father John Misty,Hollywood Forever Cemetery Sings,2012,3.75,0.583,0.831,9,-3.417,1,0.0289,0.0502,0.272,0.04,0.628,94.009,190613
16,Sufjan Stevens,Christmas Unicorn,2012,3.71,0.537,0.666,2,-8.252,1,0.0488,0.473,0.00189,0.265,0.406,119.972,748040
17,Florence + The Machine,Only If for a Night,21 April ,3.87,0.485,0.737,9,-5.947,0,0.033,0.0402,0.0,0.0923,0.384,79.961,298333
18,Foxygen,Shuggie,16 November ,3.63,0.467,0.645,1,-7.614,0,0.0364,0.101,0.00524,0.144,0.71,127.947,201707
19,Temples,Shelter Song,12 November ,3.61,0.491,0.899,9,-3.315,1,0.0373,0.000212,8.52e-05,0.167,0.537,126.061,190558
20,Wild Nothing,Shadow,26 June ,3.64,0.45,0.724,8,-9.569,1,0.03,0.109,0.865,0.127,0.595,138.065,258779
21,Kacey Musgraves,Silver Lining,2012,3.78,0.609,0.558,1,-7.962,1,0.0302,0.161,6.16e-05,0.0988,0.48,69.97,230733
22,Dead Can Dance,Amnesia,26 June ,3.57,0.576,0.634,10,-7.434,0,0.0265,0.243,0.781,0.0998,0.447,119.996,396711
23,Major Lazer,Get Free,16 April ,3.55,0.612,0.657,11,-6.971,0,0.0454,0.103,0.124,0.131,0.767,87.94,289973
24,Florence + The Machine,"No Light, No Light",15 January ,3.5,0.429,0.755,0,-5.662,1,0.052,0.0125,2.79e-05,0.444,0.162,131.914,274853
25,Killer Mike,Big Beast,13 February ,3.5,0.665,0.509,10,-7.263,0,0.224,0.00789,0.0,0.466,0.402,82.025,234720
26,The Black Keys,Little Black Submarines,3 September ,3.52,0.365,0.466,2,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,251267
27,Lana Del Rey,Summertime Sadness,22 June ,3.41,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,214912
28,iamamiwhoami,drops,29 February ,3.52,0.476,0.883,2,-7.766,0,0.0775,0.00594,0.828,0.334,0.45,145.098,283121
29,Drake,Crew Love,30 July ,3.51,0.418,0.546,0,-9.057,0,0.238,0.227,0.0,0.229,0.294,160.152,208813
30,Scott Walker,Epizootics!,8 November ,3.94,0.38,0.542,1,-10.87,1,0.147,0.515,0.00157,0.0762,0.138,149.585,580933
31,My Chemical Romance,Boy Division,30 October ,3.53,0.357,0.996,3,-3.496,0,0.103,0.0012,0.0,0.35,0.278,183.039,175453
32,Self Defense Family,Self Immolation Family,22 May ,3.59,0.425,0.746,2,-3.851,1,0.0462,0.0237,0.00342,0.13,0.39,124.418,375448
33,David Byrne,Who?,25 June ,3.49,0.686,0.551,7,-6.356,1,0.0317,0.0715,0.000636,0.0885,0.537,90.049,229960
34,M83,Reunion,6 February ,3.44,0.428,0.824,7,-5.022,1,0.0459,5.85e-05,0.000253,0.126,0.275,124.006,235374
35,Cat Power,Ruin,19 June ,3.56,0.663,0.781,0,-8.098,1,0.0296,0.0289,0.000173,0.105,0.341,122.893,272987
36,Rush,Headlong Flight,20 April ,3.53,0.429,0.962,4,-5.178,0,0.0673,1.76e-05,0.261,0.0686,0.285,89.956,440480
37,First Aid Kit,Wolf,16 September ,3.65,0.522,0.746,8,-6.999,1,0.0422,0.0594,0.00103,0.257,0.404,102.093,220333
38,Gene Clark,One in a Hundred,21 April ,3.96,0.468,0.577,7,-7.965,1,0.0306,0.34,0.000485,0.659,0.624,113.78,213280
39,Animal Collective,Honeycomb,25 June ,3.34,0.571,0.99,11,-4.251,1,0.262,0.0605,0.000179,0.425,0.329,133.048,183679
40,Future,Turn On the Lights,13 April ,3.27,0.596,0.574,6,-9.373,0,0.212,0.0409,0.0,0.147,0.439,131.075,248360
41,Leonard Cohen,Darkness,10 January ,3.48,0.637,0.377,5,-13.973,0,0.0441,0.795,0.0281,0.0991,0.551,99.515,269333
42,AlunaGeorge,"Your Drums, Your Love",10 September ,3.41,0.64,0.694,6,-5.533,1,0.0649,0.118,0.00172,0.121,0.479,90.045,219240
43,2NE1,I Love You,5 July ,3.39,0.711,0.837,0,-4.277,0,0.038,0.0242,0.0,0.531,0.563,125.075,237138
44,Passion Pit,Constant Conversations,9 July ,3.54,0.56,0.799,5,-4.466,0,0.0675,0.174,0.0679,0.304,0.304,69.972,235600
45,Stone Sour,Gone Sovereign,24 August ,3.67,0.521,0.992,6,-4.203,1,0.144,0.000134,0.027,0.122,0.166,136.023,243267
46,Beach Fossils,Shallow,21 February ,3.45,0.258,0.98,4,-4.384,1,0.0469,0.000487,0.786,0.214,0.711,167.978,197454
47,Slew Dem,Playground Vocal,10 December ,3.41,0.448,0.937,6,-3.763,1,0.308,0.38,0.0,0.164,0.767,139.923,265714
48,Holograms,ABC City,3 April ,3.64,0.463,0.839,10,-5.261,1,0.0963,0.0407,0.339,0.0625,0.483,192.702,182769
49,Yo La Tengo,Stupid Things,25 September ,3.42,0.592,0.695,3,-8.981,1,0.0986,0.848,0.891,0.174,0.275,148.512,305867
50,Kavinsky,ProtoVision,10 December ,3.39,0.54,0.559,1,-2.864,1,0.0605,0.023,0.797,0.106,0.202,110.091,205427
51,Gossip,Move in the Right Direction,2 July ,3.4,0.76,0.877,2,-3.681,0,0.0355,0.0329,0.432,0.143,0.423,126.977,211853
52,Perfume Genius,Take Me Home,2012,3.58,0.222,0.355,2,-10.173,0,0.0309,0.43,0.00772,0.0923,0.48,186.108,160347
53,Objekt,Cactus,6 February ,3.35,0.664,0.524,1,-11.946,1,0.306,0.00501,0.662,0.0933,0.0399,117.635,356991
54,Brodka,Varsovie,23 April ,3.39,0.646,0.808,6,-6.359,0,0.0488,0.0564,7.19e-06,0.0828,0.319,120.018,207018
55,Rustie,Surph,5 March ,3.4,0.775,0.838,1,-7.415,0,0.163,0.0926,0.0468,0.069,0.72,143.943,273907
56,Matthew Dear,Her Fantasy,5 June ,3.47,0.586,0.806,1,-9.542,1,0.0548,0.0246,0.000167,0.353,0.202,110.325,374133
57,Chrome Sparks,Marijuana,17 July ,3.78,0.697,0.655,1,-9.781,0,0.15,0.0626,0.774,0.353,0.415,86.969,181149
58,Michael Kiwanuka,Home Again,2 January ,3.4,0.524,0.321,9,-11.452,0,0.032,0.702,0.0,0.124,0.27,85.328,212373
59,Adele,Skyfall,5 October ,3.21,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480
60,The 1975,Sex,19 November ,3.38,0.403,0.971,2,-4.159,1,0.112,1.35e-05,2.22e-05,0.488,0.184,148.324,206987
61,Rustie,After Light,23 July ,3.33,0.331,0.695,4,-7.1,0,0.0394,0.00482,0.844,0.0726,0.115,95.908,222693
62,Garbage,Automatic Systematic Habit,8 May ,3.56,0.443,0.9,10,-4.286,0,0.0482,1.25e-05,0.0273,0.225,0.729,131.016,197733
63,Crystal Castles,Wrath of God,26 September ,3.29,0.396,0.626,0,-9.41,1,0.0515,0.00263,0.746,0.106,0.338,129.979,186627
64,Jens Lekman,Erica America,26 June ,3.42,0.636,0.549,0,-7.998,1,0.0325,0.16,1.38e-05,0.112,0.41,114.929,236200
65,Lil B,California Boy,17 September ,3.21,0.577,0.889,11,-4.82,1,0.0391,0.112,1.36e-06,0.206,0.676,142.014,192354
66,Saint Etienne,Tonight,24 January ,3.35,0.612,0.792,6,-7.211,1,0.034,0.00139,0.111,0.0847,0.404,121.972,277773
67,Crystal Castles,Plague,25 July ,3.21,0.437,0.649,11,-9.473,0,0.0675,0.0195,0.822,0.104,0.0417,130.169,295880
68,TryHardNinja,Fallen Kingdom,30 March ,3.61,0.514,0.686,5,-7.138,0,0.0512,0.0392,8.58e-06,0.117,0.228,127.895,253594
69,Le1f,Wut,July ,3.24,0.784,0.802,8,-7.572,1,0.315,0.158,0.00882,0.108,0.503,92.978,167488
70,Jagwar Ma,Come Save Me,27 February ,3.53,0.614,0.838,10,-6.896,1,0.028,0.0304,0.000297,0.166,0.578,127.971,315000
71,Neon Lights,The Leaving Sun,19 December ,3.92,0.536,0.821,0,-6.214,0,0.032,6.35e-05,0.0513,0.236,0.377,127.962,154510
72,The Black Keys,Run Right Back,23 July ,3.38,0.511,0.766,2,-5.445,0,0.0473,0.03,0.00752,0.221,0.632,79.963,197000
73,Veronica Falls,My Heart Beats,3 April ,3.42,0.307,0.742,6,-5.126,0,0.0361,0.000683,0.00103,0.0887,0.325,79.379,179769
74,Twenty One Pilots,Trees,2012,4.05,0.584,0.833,6,-5.9,1,0.041,0.00359,3.44e-05,0.169,0.324,140.013,267387
75,Alabama Shakes,Be Mine,6 February ,3.49,0.442,0.791,4,-5.167,1,0.0596,0.176,9.53e-05,0.121,0.459,71.224,254760
76,Twenty One Pilots,Ode to Sleep,2012,3.39,0.446,0.76,7,-3.608,1,0.0453,0.00891,0.000108,0.232,0.512,150.033,308388
77,Nas,Loco-Motive,2 July ,3.37,0.455,0.855,11,-5.984,0,0.342,0.167,0.0,0.309,0.498,88.037,220867
78,Beach Fossils,Careless,4 December ,3.5,0.263,0.934,11,-3.914,1,0.107,0.00441,0.2,0.256,0.389,179.576,183133
79,Beak>,Mono,10 December ,3.65,0.42,0.714,7,-8.592,0,0.0566,0.277,0.866,0.0915,0.625,167.663,189115
80,A Place to Bury Strangers,You Are the One,2012,3.6,0.349,0.737,9,-5.543,0,0.0472,0.00118,0.828,0.185,0.0489,153.957,249573
81,Lianne La Havas,Forget,14 September ,3.39,0.558,0.38,10,-12.971,0,0.0988,0.936,0.000228,0.147,0.485,96.045,278692
82,Liars,Brats,15 October ,3.56,0.588,0.728,8,-7.974,1,0.0468,0.0131,0.872,0.187,0.449,129.976,182427
83,Ken Ashcorp,Supernatural,4 August ,3.54,0.377,0.592,9,-8.805,1,0.0329,0.0119,0.0,0.112,0.417,87.625,257727
84,Chris Malinchak,So Good to Me,23 October ,3.28,0.72,0.469,11,-12.633,1,0.0394,0.148,0.0807,0.0765,0.369,121.028,226120
85,Twerps,Work It Out,23 October ,3.54,0.255,0.826,0,-5.151,1,0.0317,2.07e-05,0.899,0.106,0.577,135.196,199231
86,Danny Brown,Molly Ringwald,16 July ,3.28,0.653,0.817,1,-5.077,1,0.239,0.0482,0.0,0.157,0.468,135.345,141724
87,CocoRosie,We Are on Fire,5 June ,3.38,0.238,0.65,5,-7.371,0,0.0343,0.00025,0.642,0.395,0.0931,87.016,299333
88,Shed,The Praetorian,17 February ,3.38,0.557,0.482,11,-12.514,0,0.0507,0.000345,0.927,0.0848,0.0933,114.947,376749
89,The Raveonettes,Observations,25 June ,3.46,0.431,0.645,1,-3.869,0,0.03,0.107,0.0971,0.0543,0.139,123.014,270040
90,The Gathering,Meltdown,29 May ,3.4,0.543,0.726,9,-6.541,0,0.0389,0.0291,0.163,0.121,0.111,113.992,476293
91,Wild Nothing,Nowhere,21 February ,3.29,0.548,0.885,7,-6.79,1,0.0325,8.27e-05,0.0494,0.364,0.758,120.029,225034
92,Kanye West,Clique,6 September ,3.09,0.704,0.569,7,-4.998,0,0.247,0.0488,0.0,0.191,0.313,109.314,293533
93,Mastodon,Dry Bone Valley,24 January ,3.28,0.463,0.978,2,-4.184,1,0.146,5.26e-05,0.00177,0.0964,0.177,130.005,239893
