,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Radiohead,All I Need,5 January ,4.06,0.668,0.477,4,-8.709,0,0.0358,0.517,0.446,0.139,0.0966,88.005,228747
1,Jay Electronica,Exhibit C,22 December ,3.93,0.49,0.818,5,-11.976,0,0.251,0.0336,0.0,0.378,0.334,81.942,331440
2,Animal Collective,My Girls,19 March ,3.89,0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973,340787
3,Grizzly Bear,Two Weeks,12 May ,3.88,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,243160
4,Big Boi,Shine Blockas,October ,3.89,0.524,0.741,7,-3.686,1,0.17,0.0076,0.0,0.0621,0.46,170.91,225640
5,Fleet Foxes,Mykonos,2 February ,3.88,0.3,0.452,11,-9.298,1,0.0305,0.395,0.000818,0.137,0.342,82.988,275307
6,Animal Collective,Brother Sport,8 December ,3.83,0.514,0.977,6,-5.154,1,0.154,0.289,0.0105,0.0707,0.435,132.858,359027
7,Best Coast,When I'm With You,24 November ,3.67,0.137,0.821,7,-4.59,1,0.0548,0.445,0.757,0.309,0.306,145.166,178080
8,Utada,Sanctuary,23 July ,3.86,0.484,0.833,1,-5.79,0,0.0542,0.082,0.0,0.13,0.307,109.087,271947
9,Kanye West,Paranoid,24 March ,3.66,0.587,0.611,6,-7.408,1,0.106,0.114,9.83e-05,0.0765,0.464,114.991,277907
10,Tame Impala,Sundown Syndrome,24 July ,3.71,0.2,0.725,8,-4.88,0,0.0377,0.0952,0.494,0.135,0.326,69.075,349333
11,Phantogram,When I'm Small,2009,3.84,0.646,0.758,10,-4.34,1,0.0314,0.191,0.097,0.103,0.424,91.998,249067
12,St. Vincent,Actor Out of Work,20 April ,3.69,0.556,0.937,2,-6.023,0,0.0408,0.00234,0.742,0.359,0.446,135.925,135040
13,Brand New,At the Bottom,11 August ,3.63,0.502,0.948,2,-3.347,1,0.0634,0.107,6.9e-06,0.0725,0.212,78.81,244400
14,Mew,Introducing Palace Players,1 June ,3.68,0.5,0.799,7,-4.848,1,0.0542,0.000965,0.0979,0.108,0.811,93.032,285960
15,Wild Nothing,Summer Holiday,November ,3.63,0.359,0.921,4,-5.12,1,0.0699,0.209,0.708,0.0783,0.577,162.083,242746
16,The Presets,If I Know You,27 March ,3.73,0.676,0.644,9,-4.68,0,0.0427,0.272,1.08e-06,0.0771,0.326,128.98,267373
17,Florence + The Machine,Rabbit Heart,22 June ,3.58,0.607,0.853,9,-3.524,0,0.0443,0.0553,3e-05,0.301,0.389,116.977,232147
18,Sonic Youth,Antenna,August ,3.8,0.521,0.7,2,-7.735,1,0.0293,0.0181,0.192,0.355,0.461,117.704,373400
19,Darkstar,Aidy's Girl Is a Computer,19 October ,3.52,0.749,0.727,6,-5.549,1,0.0487,0.0113,0.641,0.133,0.176,135.011,310973
20,Pearl Jam,Just Breathe,30 November ,3.53,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819,215853
21,Lily Allen,Not Fair,11 May ,3.45,0.718,0.806,5,-9.191,1,0.0376,0.052,0.0137,0.0932,0.929,121.488,202547
22,Joy Orbison,Hyph Mngo,14 September ,3.44,0.485,0.552,1,-9.202,1,0.0543,0.116,0.0455,0.0864,0.0676,139.792,338413
23,Toro y Moi,Blessa,6 October ,3.55,0.454,0.456,3,-9.858,0,0.035,0.591,0.614,0.13,0.192,99.933,163453
24,Ladyhawke,Magic,2009,3.59,0.612,0.813,9,-3.403,0,0.0403,0.0135,0.0,0.215,0.617,109.968,207240
25,The Gaslight Anthem,Great Expectations,23 March ,3.61,0.546,0.936,10,-4.321,1,0.0657,0.00395,0.0,0.347,0.523,123.972,185133
26,Air France,No Excuses,9 March ,3.59,0.562,0.731,7,-5.317,1,0.0341,0.378,0.0022,0.623,0.521,134.954,242747
27,Alice in Chains,Your Decision,16 November ,3.51,0.468,0.63,3,-5.87,0,0.0262,4.32e-05,0.000368,0.09,0.197,99.959,283173
28,Pet Shop Boys,Did You See Me Coming?,1 June ,3.55,0.599,0.972,3,-3.553,1,0.0355,5.46e-05,0.716,0.152,0.917,128.074,221360
29,Radiohead,These Are My Twisted Words,17 August ,3.36,0.48,0.882,5,-10.114,1,0.0501,0.474,0.775,0.186,0.351,131.111,331747
30,Brown Eyed Girls,Abracadabra,July ,3.47,0.803,0.973,5,-2.343,1,0.0953,0.0224,8.57e-05,0.0846,0.794,128.021,182308
31,Crystal Stilts,Love Is a Wave,31 March ,3.59,0.175,0.88,9,-3.409,1,0.0556,0.000112,0.899,0.115,0.724,169.617,121000
32,The Big Pink,Velvet,20 April ,3.46,0.389,0.661,8,-5.45,1,0.0468,0.000191,0.000104,0.194,0.324,175.951,252373
33,Untold,Stop What You're Doing,16 November ,3.68,0.459,0.322,8,-8.487,1,0.244,0.0172,0.000143,0.0748,0.411,180.631,226545
34,Delain,April Rain,February ,3.67,0.359,0.84,0,-5.001,0,0.0753,0.0018,0.00883,0.0695,0.312,145.114,276973
35,TV on the Radio,Crying,25 May ,3.53,0.691,0.704,1,-5.655,0,0.0358,0.00807,9.82e-06,0.148,0.495,113.949,250600
36,Girls Aloud,Untouchable,27 April ,3.47,0.546,0.936,3,-3.599,0,0.0505,0.00299,0.0,0.136,0.563,130.98,229071
37,The Raveonettes,Last Dance,September ,3.67,0.639,0.639,8,-6.997,1,0.0317,5.59e-05,0.108,0.0508,0.796,121.402,227400
38,Tegan and Sara,Hell,6 October ,3.56,0.512,0.936,1,-3.74,1,0.0555,0.000313,0.000135,0.058,0.755,166.113,204200
39,MGMT,"Of Moons, Birds and Monsters",May ,3.34,0.598,0.899,1,-3.861,0,0.0424,0.0218,0.0137,0.0814,0.403,124.061,286720
40,Ian Brown,Stellify,21 September ,3.62,0.713,0.589,9,-4.516,0,0.0321,0.222,1.61e-06,0.0961,0.73,96.013,297400
41,Patrick Wolf,Hard Times,15 June ,3.57,0.508,0.794,0,-5.115,0,0.0701,0.000558,0.00158,0.749,0.309,150.041,213067
42,Pete Yorn,Relator,26 May ,3.52,0.644,0.816,11,-6.078,1,0.297,0.138,0.0,0.17,0.801,93.837,153813
43,The National,Ashamed of the Story I Told,16 July ,3.42,0.486,0.903,7,-3.539,1,0.0332,0.02,0.272,0.156,0.285,109.99,243707
44,Mark Sultan,Hold On,10 March ,3.65,0.494,0.91,8,-5.921,1,0.05,0.00567,0.000395,0.137,0.721,121.496,279196
45,Eels,Fresh Blood,28 April ,3.42,0.564,0.904,0,-4.651,1,0.0536,0.298,0.74,0.0804,0.721,192.188,264667
46,Local Natives,Sun Hands,6 July ,3.47,0.57,0.575,2,-9.567,0,0.0477,0.341,0.0574,0.0824,0.42,124.959,290987
47,mewithoutYou,"The Fox, the Crow and the Cookie",11 August ,3.73,0.531,0.879,9,-3.943,1,0.0769,0.264,0.0,0.347,0.863,92.537,210907
48,Biffy Clyro,That Golden Rule,24 August ,3.38,0.515,0.916,5,-5.964,1,0.0499,0.000359,0.000647,0.0421,0.437,109.138,229720
49,O Children,Dead Disco Dancer,15 September ,3.57,0.67,0.821,9,-5.208,0,0.0292,0.000458,0.604,0.144,0.831,129.967,226847
50,Clipse,Kinda Like a Big Deal,22 May ,3.31,0.521,0.936,7,-5.279,1,0.272,0.00515,0.00263,0.089,0.702,83.677,206160
51,Empire of the Sun,Standing on the Shore,June ,3.37,0.586,0.882,11,-5.146,0,0.0344,0.00877,0.0163,0.378,0.241,127.998,264880
52,Single,Mr. Shoji,May ,3.82,0.705,0.86,1,-7.781,1,0.0592,0.00144,0.626,0.456,0.411,91.279,239520
53,Hope Sandoval & the Warm Inventions,Blanchard,4 August ,3.63,0.421,0.403,7,-11.796,1,0.0305,0.821,0.395,0.13,0.251,148.105,296227
54,Paolo Nutini,Candy,18 May ,3.4,0.612,0.601,7,-7.809,1,0.0421,0.373,0.0,0.156,0.368,125.164,298693
55,Eels,That Look You Give That Guy,2009,3.97,0.792,0.517,5,-9.067,1,0.0268,0.641,0.0183,0.0718,0.489,94.425,256267
56,Orphaned Land,Sapari,17 December ,3.48,0.36,0.953,10,-5.812,1,0.168,0.0181,0.000582,0.52,0.35,159.925,243720
57,Depeche Mode,Peace,15 June ,3.2,0.574,0.778,7,-6.156,1,0.0335,0.000121,0.000553,0.0736,0.475,138.046,268987
58,Travis,Song to Self,5 January ,3.49,0.415,0.851,7,-6.632,1,0.0477,0.00973,2.23e-05,0.0899,0.526,121.327,223547
59,Janet Jackson,Make Me,22 September ,3.44,0.732,0.714,11,-5.772,0,0.217,0.0665,0.000124,0.238,0.674,128.49,218613
60,Flight of the Conchords,Carol Brown,16 February ,3.64,0.736,0.668,2,-8.842,1,0.116,0.408,8.81e-06,0.111,0.785,148.963,206840
61,Kasabian,Vlad the Impaler,31 March ,3.26,0.673,0.682,5,-6.436,0,0.0396,0.000797,0.00538,0.252,0.218,115.011,284373
62,Camera Obscura,The Blizzard,7 December ,3.43,0.537,0.256,2,-19.536,1,0.0357,0.365,0.0,0.159,0.33,114.728,254057
63,Eels,My Timing Is Off,2009,3.69,0.701,0.667,3,-9.233,1,0.0269,0.325,0.256,0.0916,0.779,137.003,178573
64,k-os,I Wish I Knew Natalie Portman,2009,3.85,0.482,0.907,10,-2.763,0,0.319,0.0576,0.0,0.832,0.577,81.692,189827
65,John Talabot,Sunshine,15 June ,3.3,0.691,0.558,11,-8.083,1,0.0342,0.00103,0.96,0.0886,0.0635,117.99,473403
66,Los Campesinos!,There Are Listed Buildings,2 November ,3.5,0.338,0.936,7,-3.395,1,0.094,0.00668,0.0,0.361,0.552,186.234,174813
67,Polly Scattergood,Other Too Endless,23 February ,3.92,0.527,0.674,10,-5.551,1,0.0306,0.0206,0.0194,0.248,0.135,119.749,314187
68,Sara Bareilles,Gravity,2009,3.48,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.232,168.653,232760
69,School of Seven Bells,Iamundernodisguise,17 February ,3.48,0.544,0.629,4,-7.179,0,0.0303,0.0908,0.0,0.118,0.42,92.987,227800
70,Slipknot,Snuff,28 September ,3.09,0.544,0.69,6,-5.723,0,0.0425,0.012,0.0095,0.0615,0.219,123.962,276147
71,Norah Jones,Chasing Pirates,2009,3.46,0.85,0.468,2,-9.09,0,0.039,0.547,0.0667,0.106,0.76,106.974,160907
72,Deadmau5,Ghosts 'n' Stuff,7 September ,3.06,0.611,0.613,8,-6.942,1,0.129,4.73e-05,0.105,0.159,0.491,127.979,328747
