,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
144,Tami T,I Never Loved This Hard This Fast Before,13 September ,3.39,0.58,0.373,9,-10.274,0,0.0826,0.453,0.193,0.163,0.291,54.859,262012
145,Julia Holter,Horns Surrounding Me,28 October ,3.98,0.663,0.621,9,-8.196,1,0.0434,0.245,0.108,0.34,0.174,115.059,286533
146,Steven Wilson,Drive Home,21 October ,4.03,0.447,0.343,2,-11.625,1,0.0311,0.0419,0.329,0.102,0.0777,123.904,457250
147,DJ Screw,Tell Me Something Good,30 November ,3.87,0.823,0.539,6,-10.743,1,0.0644,0.0155,1.16e-06,0.164,0.733,115.671,403867
148,Pink Floyd,Wish You Were Here,14 June ,4.16,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.883,334744
149,Coda,Bloody Stream,30 January ,3.89,0.274,0.903,8,-3.125,1,0.064,0.0086,0.0,0.315,0.662,129.999,261920
150,gmcfosho,Miss My Ni,24 March ,3.92,0.689,0.208,5,-13.521,1,0.877,0.868,0.0,0.105,0.32,139.295,271855
151,William Onyeabor,Good Name,27 September ,3.75,0.75,0.926,5,-4.966,0,0.0428,0.348,0.801,0.192,0.97,123.875,605853
152,David Sylvian,Do You Know Me Now?,16 September ,3.76,0.516,0.233,9,-15.067,1,0.0307,0.752,1.56e-05,0.142,0.188,97.908,260620
153,Steven Wilson,Luminol,20 April ,3.73,0.418,0.446,4,-10.598,0,0.0313,0.00214,0.621,0.0797,0.283,172.002,730116
154,Oneohtrix Point Never,Still Life,2013,3.68,0.247,0.203,6,-14.055,0,0.0415,0.415,0.0411,0.0957,0.0363,100.989,293768
155,Junip,Line of Fire,15 January ,3.66,0.484,0.75,2,-8.033,1,0.0417,0.472,0.523,0.111,0.284,90.377,339293
156,Julia Brown,Library,11 June ,3.68,0.243,0.542,2,-8.266,1,0.0361,0.0642,0.0329,0.175,0.132,70.012,160720
157,London Grammar,Wasting My Young Years,16 June ,3.52,0.543,0.311,5,-10.018,0,0.0361,0.857,0.000684,0.0983,0.134,126.86,204213
158,A$AP Mob,Trillmatic,4 December ,3.59,0.837,0.807,11,-3.288,0,0.284,0.0381,0.0,0.206,0.721,94.968,239240
159,Galaxie 500,Temperature's Rising,23 April ,3.7,0.378,0.757,7,-9.201,1,0.0341,0.37,0.377,0.0815,0.524,111.688,308680
160,Kishi Bashi,Bright Whites,19 March ,3.74,0.558,0.856,7,-7.055,1,0.041,0.0351,0.0,0.395,0.588,108.194,253132
161,Machinedrum,Gunshotta,3 September ,3.65,0.661,0.788,11,-7.828,0,0.141,0.00436,0.728,0.242,0.294,169.935,346118
162,Black Uhuru,Youths of Eglington,2013,3.68,0.5,0.76,7,-7.501,1,0.101,0.488,0.0221,0.604,0.659,172.017,307093
163,Vampire Weekend,Finger Back,2013,3.59,0.668,0.822,0,-4.861,1,0.0855,0.255,1.72e-05,0.349,0.721,100.934,205960
164,Rush,The Garden,29 November ,3.76,0.344,0.798,7,-5.053,0,0.0363,0.0339,0.0847,0.101,0.217,160.101,419440
165,Dreamtrak,"Odyssey, Pt. 2",18 September ,3.4,0.761,0.816,3,-6.952,1,0.038,0.0123,0.915,0.111,0.449,120.011,356420
166,Young Fathers,Low,21 October ,3.77,0.571,0.727,0,-4.218,1,0.0574,0.545,0.0,0.0953,0.289,86.013,191000
167,T.O.P,Doom Dada,15 November ,3.67,0.48,0.973,7,-5.022,1,0.481,0.03,0.0,0.374,0.28,156.085,257227
168,Perfume,1mm,18 September ,3.45,0.58,0.954,3,-2.129,0,0.0653,0.00108,0.134,0.703,0.842,110.006,258133
169,Pet Symmetry,Two Songs About Cars. Two Songs With Long Titles,2013,3.53,0.552,0.94,1,-5.152,0,0.13,0.00108,0.0,0.165,0.743,145.055,168834
170,Suede,Barriers,7 January ,3.46,0.408,0.768,6,-8.679,1,0.0564,0.00175,0.00187,0.145,0.258,108.928,222440
171,HTRK,Give it Up,17 December ,3.73,0.756,0.3,11,-18.816,0,0.0458,0.803,0.883,0.081,0.228,129.99,228366
172,Karol Conka,Gandaia,4 November ,3.58,0.648,0.84,7,-6.566,1,0.205,0.0124,0.0,0.247,0.908,83.995,176893
173,Madeon,Technicolor,3 August ,3.61,0.535,0.809,2,-3.382,0,0.0385,0.000232,0.25,0.106,0.0662,127.027,385413
174,Veronica Falls,Teenage,January ,3.6,0.292,0.845,0,-5.877,1,0.0433,0.292,0.846,0.219,0.533,141.972,171572
175,Iceage,Ecstasy,6 February ,3.42,0.132,0.936,9,-4.505,0,0.111,0.0127,0.306,0.458,0.129,143.636,148773
176,David Bowie,Sound and Vision,7 October ,3.65,0.667,0.804,2,-8.583,1,0.0398,0.0328,0.0544,0.0632,0.759,105.797,184382
177,Beck,Defriended,18 June ,3.37,0.518,0.738,9,-6.346,0,0.0878,0.00049,0.201,0.0668,0.279,144.363,225633
178,The Hotelier,The Scope of All of This Rebuilding,16 December ,4.15,0.338,0.941,5,-5.657,1,0.161,0.00199,2.53e-05,0.113,0.499,172.939,146480
