,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Wilco,"Jesus, etc.",2002,4.15,0.756,0.28,5,-14.27,1,0.0296,0.616,0.00033,0.414,0.695,109.413,231000
1,Interpol,Obstacle 1,12 November ,4.16,0.371,0.941,5,-4.783,1,0.0602,5.21e-05,0.676,0.0732,0.386,120.499,251547
2,Interpol,NYC,20 September ,4.14,0.171,0.753,0,-4.871,1,0.0312,0.0141,0.0481,0.11,0.284,77.76,259373
3,The Knife,Heartbeats,27 December ,4.01,0.649,0.753,8,-4.875,1,0.0319,0.0209,5.81e-05,0.105,0.46,87.99,231853
4,Interpol,PDA,22 August ,4.02,0.239,0.902,6,-5.696,0,0.071,2.73e-05,0.837,0.083,0.22,137.989,300053
5,Queens of the Stone Age,No One Knows,4 November ,4.01,0.511,0.581,0,-4.93,1,0.0581,0.031,0.000171,0.367,0.668,170.852,278707
6,The Flaming Lips,Do You Realize??,August ,3.97,0.464,0.797,0,-5.244,1,0.0333,0.006,0.000304,0.392,0.547,129.964,213173
7,Interpol,Roland,2002,3.84,0.284,0.97,4,-4.937,0,0.0555,2.57e-05,0.605,0.095,0.294,146.265,215573
8,Beth Gibbons,Mysteries,2002,3.78,0.524,0.215,5,-19.83,1,0.0381,0.898,0.0539,0.268,0.249,100.311,277853
9,Tori Amos,A Sorta Fairytale,14 October ,3.77,0.605,0.463,5,-9.805,0,0.0433,0.683,0.0206,0.091,0.888,153.072,328600
10,Ramones,Judy Is a Punk,2002,3.75,0.232,0.866,3,-1.38,1,0.0503,0.0801,0.0962,0.235,0.722,179.551,92480
11,a-ha,Lifelines,8 July ,3.74,0.412,0.655,9,-9.183,0,0.0736,0.452,0.000411,0.962,0.24,80.795,318067
12,Wilco,War on War,18 June ,3.68,0.65,0.833,9,-8.446,1,0.0297,0.0323,0.00386,0.233,0.677,131.184,227667
13,System of a Down,Aerials,10 June ,3.65,0.364,0.922,0,-4.217,0,0.0566,0.000918,0.035,0.0696,0.227,79.342,235053
14,Mirah,"Cold, Cold Water",2002,3.7,0.314,0.412,1,-10.012,0,0.0441,0.602,0.000747,0.282,0.314,125.691,310373
15,U2,Electrical Storm,21 October ,3.54,0.229,0.5,4,-6.769,1,0.0312,0.166,0.000248,0.454,0.185,96.022,277467
16,Freeway,What We Do,2002,3.66,0.569,0.894,9,-4.931,0,0.318,0.00715,0.0,0.158,0.293,188.892,229107
17,Super Furry Animals,It's Not the End of the World,14 January ,3.69,0.553,0.502,0,-6.377,1,0.0255,0.31,0.00131,0.103,0.384,73.619,208933
18,Nas,Made You Look,2002,3.62,0.658,0.936,5,-5.105,0,0.3,0.172,0.0,0.321,0.711,95.439,203000
19,Disillusion,The Porter,5 August ,3.66,0.272,0.829,7,-5.894,1,0.0541,1.62e-05,0.489,0.0854,0.264,122.664,260240
20,The Streets,Weak Become Heroes,22 July ,3.49,0.499,0.723,0,-9.051,0,0.249,0.0326,0.0,0.262,0.566,130.376,240040
21,Primal Scream,Miss Lucifer,15 July ,3.56,0.597,0.88,10,-8.149,0,0.0789,0.0295,0.763,0.724,0.165,127.994,168587
