,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Radiohead,Reckoner,23 September ,4.16,0.518,0.656,4,-7.438,0,0.0264,0.511,0.156,0.0679,0.203,104.282,290213
1,Portishead,The Rip,9 June ,4.16,0.471,0.484,9,-9.414,0,0.0317,0.925,0.499,0.0987,0.236,74.982,270947
2,M.I.A.,Paper Planes,September ,4.11,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,203760
3,Radiohead,Jigsaw Falling Into Place,14 January ,4.04,0.461,0.833,11,-6.082,0,0.0481,0.105,0.00419,0.0741,0.808,165.635,248893
4,Portishead,Machine Gun,14 April ,4.03,0.565,0.575,11,-6.116,1,0.0409,0.015,0.00225,0.106,0.0601,105.12,283440
5,Radiohead,Nude,31 March ,3.99,0.537,0.342,4,-9.785,1,0.0338,0.833,0.6,0.0856,0.156,128.331,255387
6,The National,Fake Empire,23 June ,3.95,0.325,0.77,0,-6.789,1,0.0334,0.143,0.901,0.0731,0.312,101.958,205040
7,Okkervil River,Lost Coastlines,July ,3.73,0.533,0.783,9,-4.992,1,0.0314,0.0401,0.0,0.109,0.702,109.899,331800
8,Goldfrapp,Clowns,20 October ,3.74,0.415,0.177,1,-14.326,1,0.0319,0.975,0.915,0.211,0.12,77.065,248000
9,Nancy Sinatra,Bang Bang,3 June ,3.87,0.433,0.174,5,-18.791,0,0.0537,0.982,0.101,0.111,0.366,95.802,162447
10,Girls,Hellhole Ratrace,2008,3.61,0.42,0.552,9,-7.37,1,0.0351,0.229,0.0,0.284,0.0779,114.986,416987
11,Sia,Soon We'll Be Found,13 October ,3.79,0.5,0.352,0,-13.903,0,0.0387,0.262,0.000396,0.189,0.391,129.767,260120
12,The Gaslight Anthem,The '59 Sound,22 July ,3.68,0.423,0.943,10,-3.962,1,0.0917,0.0012,5.08e-06,0.263,0.406,168.022,189987
13,Beck,Chemtrails,30 June ,3.59,0.167,0.765,0,-6.513,1,0.0693,0.26,0.422,0.67,0.115,174.03,278040
14,Janet Jackson,Rock With U,5 February ,3.7,0.685,0.787,9,-5.917,0,0.0329,0.126,0.0078,0.313,0.681,121.988,231907
15,MGMT,Metanoia,19 August ,3.56,0.399,0.672,2,-5.061,1,0.0337,0.131,0.0352,0.339,0.193,116.972,829853
16,Kate Bush,Sunset,2008,3.85,0.625,0.439,1,-18.303,0,0.0361,0.674,0.0508,0.13,0.317,123.698,358573
