,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Lana Del Rey,Venice Bitch,18 September ,4.01,0.404,0.298,9,-12.986,0,0.0304,0.912,0.228,0.0996,0.315,78.815,577199
1,JPEGMAFIA,1539 N. Calvert,10 January ,4.02,0.863,0.717,4,-3.143,0,0.17,0.278,0.0826,0.0991,0.357,152.05,157259
2,Daughters,The Reason They Hate Me,17 August ,4.01,0.539,0.94,11,-5.721,1,0.0359,1.15e-05,0.149,0.174,0.45,130.01,235907
3,Kids See Ghosts,Reborn,2018,3.9,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,324674
4,Pusha T,If You Know You Know,13 June ,3.93,0.46,0.697,6,-5.954,0,0.325,0.0186,0.0,0.362,0.701,153.426,202120
5,Thom Yorke,Unmade,25 October ,3.94,0.186,0.3,9,-12.141,0,0.0368,0.974,0.924,0.0672,0.0877,96.563,267455
6,Lana Del Rey,Mariners Apartment Complex,12 September ,3.91,0.545,0.26,9,-12.668,1,0.0289,0.788,0.00099,0.105,0.185,75.962,247150
7,Thom Yorke,Suspirium,4 September ,3.77,0.473,0.217,1,-15.662,0,0.032,0.989,0.905,0.134,0.441,151.002,201768
8,Little Simz,101 FM,5 December ,3.81,0.79,0.547,6,-9.515,1,0.048,0.399,0.000371,0.114,0.969,142.024,191392
9,Beach House,Dark Spring,2 April ,3.76,0.434,0.88,3,-6.057,0,0.0376,0.167,0.883,0.202,0.141,126.102,204600
10,MGMT,Me & Michael,7 February ,3.75,0.628,0.841,9,-4.583,1,0.0268,0.0285,0.00332,0.254,0.706,111.985,289853
11,Kim Petras,Heart to Break,14 February ,3.62,0.74,0.631,11,-4.865,1,0.196,0.0403,2.77e-06,0.253,0.887,109.029,225973
12,Yves Tumor,Licking an Orchid,30 August ,3.7,0.67,0.528,8,-9.372,0,0.0323,0.0565,0.00117,0.102,0.628,87.965,278311
13,Nine Inch Nails,God Break Down the Door,17 May ,3.64,0.33,0.971,0,-4.543,1,0.139,0.269,0.945,0.155,0.153,113.931,254958
14,Kamasi Washington,Fists of Fury,10 April ,3.7,0.4,0.889,3,-8.315,0,0.1,0.284,0.78,0.0885,0.553,103.528,583174
15,The Claypool Lennon Delirium,Blood and Rockets,24 October ,3.84,0.529,0.626,0,-4.487,0,0.0262,0.0342,0.503,0.0964,0.326,81.985,389827
16,Mount Eerie,Tintin in Tibet,20 February ,3.59,0.345,0.27,9,-18.846,0,0.154,0.862,0.112,0.191,0.173,79.649,277260
17,Vessel,Paplu,30 October ,4.39,0.362,0.8,1,-5.228,1,0.0481,0.0329,0.811,0.127,0.304,137.989,584208
18,City Morgue,33rd Blakk Glass,24 March ,3.57,0.373,0.862,1,-1.98,1,0.0612,0.162,0.0,0.48,0.32,113.252,150267
19,Let's Eat Grandma,It's Not Just Me,18 April ,3.63,0.488,0.597,0,-6.974,1,0.0589,0.434,0.0,0.0896,0.341,125.912,235630
20,Car Seat Headrest,Cute Thing,23 January ,3.58,0.326,0.745,10,-5.162,1,0.0522,0.00627,0.29,0.116,0.272,114.233,339322
21,Offset,Ric Flair Drip,1 March ,3.52,0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,172800
22,AURORA,Forgotten Love,17 August ,3.7,0.605,0.673,6,-9.137,0,0.071,0.0768,0.0656,0.0881,0.502,124.017,206469
23,Young Fathers,In My View,17 January ,3.57,0.402,0.758,1,-7.557,1,0.366,0.174,0.764,0.0592,0.442,130.579,195446
24,Brockhampton,1999 Wildfire,7 July ,3.49,0.811,0.57,5,-8.093,1,0.129,0.253,0.0,0.148,0.814,128.066,251250
25,Mineral,Aurora,5 November ,3.6,0.493,0.599,2,-9.658,1,0.0318,2.65e-05,0.164,0.105,0.141,122.994,482560
26,Florence + The Machine,Hunger,3 May ,3.59,0.729,0.675,2,-5.62,0,0.0415,0.53,0.0,0.0985,0.332,116.016,214667
27,Ben Howard,Nica Libres at Dusk,11 May ,3.83,0.453,0.426,9,-12.793,1,0.031,0.76,0.392,0.0976,0.356,148.063,394320
28,Ex:Re,Romance,26 November ,3.71,0.253,0.0327,4,-25.125,1,0.0341,0.942,0.813,0.119,0.0765,90.719,159600
29,Johnny Marr,Hi Hello,11 May ,3.63,0.362,0.855,4,-3.968,0,0.0362,2.87e-06,0.000216,0.101,0.444,117.666,263076
30,Malibu Ken,Corn Maze,17 December ,3.6,0.709,0.624,10,-6.065,0,0.289,0.363,3.12e-05,0.109,0.864,91.079,202667
