,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Radiohead,How to Disappear Completely,2000,4.31,0.168,0.302,6,-11.645,0,0.0344,0.315,0.79,0.11,0.205,102.041,356333
1,Radiohead,Idioteque,November ,4.25,0.615,0.931,3,-7.8,1,0.24,0.0352,2.37e-05,0.0914,0.53,137.544,309093
2,Nick Drake,Pink Moon,2000,4.22,0.638,0.256,3,-15.68,1,0.0492,0.819,0.0707,0.145,0.438,82.479,123333
3,OutKast,B.O.B,8 December ,4.14,0.746,0.978,9,-5.324,1,0.0978,0.0555,4.02e-05,0.026,0.652,153.897,304227
4,Radiohead,The National Anthem,2000,4.12,0.486,0.754,2,-8.552,1,0.0378,0.00237,0.858,0.224,0.387,91.52,351693
5,Radiohead,Optimistic,18 September ,4.03,0.403,0.757,7,-9.931,0,0.0371,0.0496,0.848,0.305,0.573,157.957,315973
6,The Avalanches,Frontier Psychiatrist,21 August ,4.0,0.711,0.905,6,-7.459,1,0.218,0.122,0.000166,0.395,0.437,98.931,288347
7,Yo La Tengo,You Can Have It All,8 August ,3.77,0.515,0.833,4,-9.409,1,0.0362,0.637,0.944,0.302,0.965,178.471,276640
8,Grandaddy,"He's Simple, He's Dumb, He's the Pilot.",2000,3.78,0.307,0.419,5,-11.983,1,0.0307,0.317,0.0425,0.149,0.0507,124.775,532893
9,Grandaddy,The Crystal Lake,2000,3.78,0.532,0.685,3,-6.86,1,0.0283,0.00418,0.00685,0.282,0.194,125.965,300133
10,cLOUDDEAD,Apt. A,14 November ,3.72,0.442,0.543,6,-8.565,1,0.113,0.945,0.00964,0.0897,0.14,72.716,390953
11,Alan Braxe,Intro,2000,3.7,0.859,0.848,1,-5.842,1,0.216,0.0292,0.00151,0.304,0.61,123.937,294720
12,Coldplay,Yellow,26 June ,3.65,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.00013,0.234,0.285,173.365,266773
13,Sweet Female Attitude,Flowers,3 April ,3.65,0.746,0.965,0,-5.263,0,0.113,0.38,0.00547,0.621,0.915,131.861,230133
14,Sade,By Your Side,30 October ,3.65,0.653,0.433,11,-10.487,1,0.0295,0.0901,0.00394,0.0765,0.582,146.097,274600
15,At the Drive-In,Rolodex Propaganda,27 November ,3.63,0.3,0.983,0,-2.16,1,0.275,0.193,0.0,0.0478,0.296,165.153,175173
16,the pillows,Ride on Shooting Star,26 April ,3.75,0.527,0.951,2,-3.059,1,0.0733,0.00474,4.22e-06,0.378,0.331,138.25,141107
17,A Perfect Circle,Judith,8 August ,3.58,0.365,0.894,11,-4.682,0,0.0572,3.32e-05,0.171,0.267,0.31,82.305,247267
18,Ladytron,Playgirl,3 July ,3.67,0.532,0.725,6,-6.52,1,0.0473,0.00414,0.159,0.236,0.702,120.06,229440
19,Erykah Badu,Bag Lady,19 September ,3.57,0.724,0.416,5,-8.964,0,0.0841,0.365,0.0,0.0969,0.578,151.181,348893
20,Belle and Sebastian,Legal Man,16 May ,3.49,0.48,0.832,8,-6.091,1,0.117,0.0482,5.63e-06,0.0827,0.65,146.676,162600
21,Wu-Tang Clan,Gravel Pit,2000,3.53,0.787,0.72,7,-7.569,1,0.251,0.222,0.0,0.633,0.538,121.003,253467
22,Jay-Z,Big Pimpin',12 September ,3.49,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067
23,Type O Negative,Everyone I Love Is Dead,2000,3.87,0.459,0.935,7,-5.888,1,0.0997,0.0193,0.0179,0.418,0.231,128.31,371400
24,Blink-182,Adam's Song,5 September ,3.46,0.52,0.775,0,-5.803,1,0.0348,0.034,0.0,0.364,0.382,136.028,249627
25,Rhapsody,Holy Thunderforce,2000,3.5,0.353,0.932,2,-2.847,0,0.0549,0.0118,0.0,0.0609,0.455,180.002,261747
26,Current 93,Immortal Bird,2000,3.66,0.223,0.405,8,-10.245,1,0.0324,0.046,0.668,0.134,0.103,71.688,392187
27,Ghostface Killah,Malcolm,2000,3.62,0.586,0.648,11,-5.526,0,0.421,0.183,0.0,0.352,0.762,86.485,251733
28,Pinback,Tripoli,17 January ,3.67,0.789,0.494,11,-8.643,0,0.0343,0.833,0.825,0.105,0.586,93.539,270867
29,The Hellacopters,Toys and Flavors,October ,3.73,0.289,0.933,10,-5.243,0,0.119,0.00183,1.01e-05,0.233,0.587,151.634,212507
30,Third Eye Blind,Never Let You Go,15 May ,3.42,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240
31,Yo La Tengo,Saturday,31 January ,3.48,0.682,0.674,2,-13.444,1,0.0318,0.0705,0.867,0.173,0.714,114.392,258267
32,Helloween,If I Could Fly,4 September ,3.45,0.475,0.906,4,-4.995,0,0.0375,0.00479,0.0,0.0999,0.671,79.089,249000
33,Los Planetas,Vas a verme por la tele,July ,3.57,0.342,0.959,7,-4.026,1,0.0604,0.00204,0.543,0.277,0.465,136.089,278213
34,a-ha,Velvet,September ,3.49,0.516,0.496,0,-8.905,1,0.0244,0.0669,0.000207,0.153,0.385,135.977,259147
35,C-Murder,Down for My N's,2000,3.47,0.821,0.856,6,-3.172,0,0.266,0.0475,0.0,0.347,0.533,91.023,225373
36,Jeromes Dream,Untitled #2,December ,3.53,0.445,0.215,10,-9.499,0,0.0469,0.0276,0.883,0.111,0.0397,112.755,239733
37,DJ Shadow,Dark Days,26 September ,3.46,0.422,0.856,10,-9.023,0,0.0433,0.0117,0.778,0.375,0.682,180.509,268965
38,Kylie Minogue,On a Night Like This,September ,3.36,0.597,0.87,0,-6.058,0,0.0279,0.00378,0.32,0.335,0.563,129.947,212973
39,Bomfunk MC's,Freestyler,14 February ,3.19,0.847,0.96,4,-5.183,0,0.105,0.0237,0.0253,0.0629,0.922,163.825,172733
40,Megadeth,Kill the King,July ,3.4,0.538,0.955,0,-4.19,1,0.101,2.68e-05,0.812,0.119,0.205,145.376,222840
41,a-ha,The Sun Never Shone That Day,21 September ,3.66,0.575,0.774,5,-7.166,0,0.0374,0.059,0.0,0.112,0.489,123.989,278733
42,Mansun,I Can Only Disappoint U,31 July ,3.64,0.547,0.863,9,-6.697,0,0.0616,0.0285,7.98e-05,0.499,0.353,135.214,287600
43,Toktok vs. Soffy O.,Missy Queen's Gonna Die,2000,3.59,0.793,0.864,2,-4.964,1,0.0461,0.0474,0.00819,0.0585,0.935,130.023,251907
44,The Shins,When I Goose-Step,June ,3.42,0.613,0.388,11,-12.069,1,0.0393,0.709,0.00014,0.0879,0.585,130.382,229907
