track,artist,date,rating
b'The Blacker the Berry',b'Kendrick Lamar',14 February 2015 ,4.13
b'They Reminisce Over You (T.R.O.Y.) / Creator',b'Pete Rock & C.L. Smooth',2 April 1992 ,4.16
b'1979',b'The Smashing Pumpkins',22 January 1996 ,4.16
b'Debaser [studio]',b'Pixies',22 September 1997 ,4.18
"b""Billie Jean / Can't Get Outta the Rain""",b'Michael Jackson',11 January 1983 ,4.15
"b""The Sounds of Silence / We've Got a Groovey Thing Goin'""",b'Simon & Garfunkel',13 September 1965 ,4.15
,,,
b'Gimmie Shelter / Country Honk',b'The Rolling Stones',1975,4.17
b'Strange Fruit / Fine and Mellow',b'Billie Holiday and Her Orchestra',May 1939 ,4.17
b'Ladies and Gentlemen We Are Floating in Space / Come Together',b'Spiritualized\xc2\xae',1998,4.22
b'Teardrop',b'Massive Attack',27 April 1998 ,4.16
b'Thirteen / Watch the Sunrise',b'Big Star',1972,4.18
b'Rebellion (Lies)',b'Arcade Fire',5 September 2005 ,4.14
"b""Sunny Afternoon / I'm Not Like Everybody Else""",b'The Kinks',3 June 1966 ,4.16
,,,
b'In Between Days / The Exploding Boy',b'The Cure',9 July 1985 ,4.17
b'True Faith / 1963',b'New Order',20 July 1987 ,4.17
b'Street Spirit (Fade Out)',b'Radiohead',22 January 1996 ,4.13
b'Unfinished Sympathy',b'Massive',11 February 1991 ,4.15
b'Since I Left You',b'The Avalanches',26 March 2001 ,4.15
b'The Rip',b'Portishead',9 June 2008 ,4.16
b'Take Five / Blue Rondo a la Turk',b'Dave Brubeck Quartet',21 September 1959 ,4.16
,,,
b'Carry Me Ohio',b'Sun Kil Moon',2003,4.19
"b""Suzanne / Hey, That's No Way to Say Goodbye""",b'Leonard Cohen',February 1968 ,4.17
"b""Care of Cell 44 / Maybe After He's Gone""",b'The Zombies',24 November 1967 ,4.19
"b""Int'l Players Anthem (I Choose You)""",b'UGK',6 June 2007 ,4.15
"b'Jesus, etc.'",b'Wilco',2002,4.15
"b""I Heard It Through the Grapevine / You're What's Happening (In the World Today)""",b'Marvin Gaye',30 October 1968 ,4.16
"b""Surf's Up / Don't Go Near the Water""",b'The Beach Boys',November 1971 ,4.18
,,,
b'Obstacle 1',b'Interpol',12 November 2002 ,4.16
b'Svefn-g-englar',b'Sigur R\xc3\xb3s',27 September 1999 ,4.15
b'London Calling / Armagideon Time',b'The Clash',7 December 1979 ,4.09
"b""Baba O'Riley / I Can't Explain""",b'The Who',November 1971 ,4.13
"b'Holland, 1945 / Engine'",b'Neutral Milk Hotel',13 October 1998 ,4.12
"b""I Get Around / Don't Worry Baby""",b'The Beach Boys',11 May 1964 ,4.15
b'I Wanna Be Your Dog / 1969',b'The Stooges',October 1969 ,4.15
,,,
b'B.O.B',b'OutKast',8 December 2000 ,4.14
b'Transmission / Novelty',b'Joy Division',October 1979 ,4.12
b'Paranoid / The Wizard',b'Black Sabbath',7 August 1970 ,4.15
b'I Wanna Be Adored',b'The Stone Roses',September 1991 ,4.15
"b""Ever Fallen in Love (With Someone You Shouldn't've?) / Just Lust""",b'Buzzcocks',8 September 1978 ,4.14
,,,
,,,
"b""Vitamin C / I'm So Green""",b'Can',1972,4.16
b'Mind Playing Tricks on Me',b'Geto Boys',1991,4.14
b'Licht und Blindheit',b'Joy Division',18 March 1980 ,4.13
b'We Can Work It Out / Day Tripper',b'The Beatles',3 December 1965 ,4.10
b'The Great Curve / Born Under Punches (The Heat Goes On)',b'Talking Heads',1980,4.15
"b""All Tomorrow's Parties / I'll Be Your Mirror""",b'The Velvet Underground',July 1966 ,4.12
b'Psycho Killer',b'Talking Heads',January 1978 ,4.14
,,,
