,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Arcade Fire,Neighborhood #1,20 June ,4.21,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,288333
1,Pixies,Where Is My Mind?,19 April ,4.16,0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,236973
2,Nick Drake,River Man,6 September ,4.13,0.474,0.118,8,-20.098,1,0.0339,0.852,0.735,0.112,0.0921,114.52,258680
3,The Walkmen,The Rat,19 April ,4.07,0.176,0.917,6,-4.884,0,0.0635,0.000151,0.0728,0.235,0.325,168.197,262107
4,Madvillain,All Caps,2004,4.07,0.358,0.889,1,-8.045,1,0.336,0.266,1.48e-05,0.172,0.665,85.619,130480
5,Kanye West,Jesus Walks,25 May ,3.97,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312,193733
6,Franz Ferdinand,Take Me Out,12 January ,3.93,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027
7,Blackfield,Blackfield,March ,3.78,0.482,0.742,11,-5.526,0,0.0274,0.000564,0.00349,0.219,0.106,81.993,246920
8,Brian Wilson,Surf's Up,2004,4.04,0.343,0.34,0,-9.821,0,0.0293,0.778,0.0,0.0717,0.31,104.404,247093
9,The Go! Team,Ladyflash,22 November ,3.77,0.562,0.959,3,-5.288,1,0.0543,0.000278,0.534,0.17,0.711,115.406,256027
10,Nick Cave & The Bad Seeds,Nature Boy,6 September ,3.72,0.432,0.854,7,-4.619,1,0.0336,0.0763,0.00509,0.114,0.84,139.421,294400
11,Animal Collective,Who Could Win a Rabbit,19 July ,3.64,0.459,0.85,0,-8.132,1,0.0822,0.378,0.0,0.588,0.52,91.977,138840
12,The Libertines,Can't Stand Me Now,9 August ,3.67,0.371,0.943,4,-3.095,1,0.0577,0.0109,3.79e-05,0.0795,0.596,164.401,204760
13,Keane,Somewhere Only We Know,16 February ,3.54,0.452,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,236160
14,The Radio Dept.,Why Won't You Talk About It?,14 June ,3.72,0.375,0.987,5,-1.846,1,0.0609,3.37e-06,0.0913,0.266,0.335,139.952,189933
15,Crime Mob,Knuck If You Buck,29 May ,3.6,0.865,0.844,8,-4.946,1,0.311,0.0582,0.0,0.373,0.755,150.09,205120
