,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,The Avalanches,Since I Left You,26 March ,4.15,0.516,0.916,7,-7.255,1,0.0644,0.237,0.0,0.636,0.478,102.78,261000
1,Radiohead,Pyramid Song,21 May ,4.09,0.127,0.335,11,-8.298,0,0.0329,0.786,0.427,0.111,0.0686,77.078,288733
2,The Microphones,The Moon,2001,4.12,0.201,0.718,7,-9.821,1,0.0657,0.395,0.789,0.135,0.159,149.734,316640
3,The Strokes,Hard to Explain,25 June ,4.07,0.408,0.665,7,-6.286,1,0.0578,0.000456,0.863,0.0888,0.667,82.525,224333
4,Daft Punk,Digital Love,11 June ,4.01,0.644,0.664,9,-8.398,1,0.0333,0.0481,0.862,0.342,0.53,124.726,301373
5,Goldfrapp,Pilots,5 November ,3.81,0.354,0.372,6,-10.564,1,0.0303,0.347,0.237,0.0755,0.118,84.762,269600
6,dEUS,Nothing Really Ends,2001,3.88,0.626,0.527,2,-10.469,0,0.027,0.409,0.0396,0.133,0.476,119.12,336000
7,System of a Down,Chop Suey!,13 August ,3.65,0.419,0.934,7,-3.908,0,0.12,0.000278,0.0015,0.132,0.286,127.288,210240
8,Rammstein,Sonne,12 February ,3.73,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,272440
9,Black Rebel Motorcycle Club,Love Burns,13 May ,3.78,0.504,0.852,9,-5.095,1,0.074,0.0762,0.0115,0.106,0.203,117.568,245493
10,Phoenix,If I Ever Feel Better,2001,3.69,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,266600
11,Super Furry Animals,Juxtapozed With U,7 August ,3.76,0.526,0.823,6,-6.661,0,0.0483,0.105,1.1e-05,0.0726,0.921,82.862,191373
12,Antony and the Johnsons,I Fell in Love With a Dead Boy,29 January ,3.61,0.205,0.157,10,-11.766,1,0.0438,0.975,0.00891,0.0874,0.155,64.977,291760
13,Aaliyah,We Need a Resolution,2001,3.63,0.725,0.52,6,-9.347,0,0.297,0.315,0.0,0.123,0.84,147.159,242267
14,...And You Will Know Us by the Trail of Dead,Relative Ways,6 November ,3.63,0.436,0.892,9,-4.536,1,0.047,2.48e-06,0.259,0.212,0.342,125.918,243467
15,Black Rebel Motorcycle Club,Red Eyes and Tears,6 February ,3.73,0.441,0.71,8,-5.488,0,0.0291,0.000682,0.134,0.121,0.114,105.254,240107
16,Aaliyah,Rock the Boat,2001,3.58,0.684,0.642,7,-10.675,1,0.0523,0.094,0.000188,0.194,0.584,93.011,276907
17,Kings of Convenience,"Winning a Battle, Losing the War",12 February ,3.74,0.587,0.316,5,-15.885,1,0.0305,0.958,0.247,0.106,0.483,142.448,234627
18,Placebo,Black-Eyed,8 October ,3.62,0.474,0.879,11,-4.9,1,0.0469,0.00208,0.0352,0.135,0.385,123.864,228107
19,Manic Street Preachers,Found That Soul,26 February ,3.61,0.226,0.966,1,-5.594,1,0.0768,2.65e-05,0.702,0.495,0.396,143.751,186813
20,The Dandy Warhols,Godless,2001,3.7,0.47,0.704,7,-8.498,1,0.0319,0.0133,0.862,0.177,0.134,111.144,319971
21,Aimee Mann,Red Vines,2001,3.78,0.555,0.723,3,-6.541,1,0.0306,0.256,4.31e-06,0.259,0.564,83.987,224400
22,The Beta Band,Squares,2001,3.66,0.676,0.446,5,-11.519,0,0.0622,0.00337,0.0406,0.114,0.507,150.033,226893
23,Dido,Thank You,21 May ,3.38,0.722,0.595,1,-9.928,0,0.0415,0.284,0.000538,0.0694,0.738,79.98,217827
24,Dir en Grey,Ain't Afraid to Die,18 April ,3.81,0.398,0.513,11,-6.879,0,0.0347,0.0281,6.01e-05,0.0856,0.232,143.729,433680
25,The Smashing Pumpkins,Untitled,5 November ,3.53,0.349,0.923,8,-4.965,1,0.0542,5.8e-06,0.882,0.118,0.437,98.223,231693
