,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Sun Kil Moon,Carry Me Ohio,2003,4.19,0.594,0.512,6,-8.872,1,0.0236,0.317,0.103,0.113,0.52,97.348,381040
1,OutKast,Hey Ya!,27 October ,4.03,0.728,0.974,4,-2.261,0,0.0665,0.103,0.000532,0.175,0.965,79.526,235213
2,Johnny Cash,Hurt,March ,4.03,0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,216533
3,Yeah Yeah Yeahs,Maps,22 September ,4.03,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,219987
4,Ween,Transdermal Celebration,2003,4.11,0.153,0.779,10,-6.032,1,0.0449,0.000346,0.018,0.306,0.332,171.237,206000
5,Kanye West,Through the Wire,30 September ,4.01,0.571,0.739,7,-6.11,1,0.247,0.00865,5.21e-06,0.158,0.66,83.089,221227
6,Radiohead,There There,19 May ,3.97,0.614,0.677,9,-8.317,0,0.0323,0.0193,0.518,0.108,0.717,126.477,323600
7,Placebo,The Bitter End,10 March ,3.74,0.328,0.904,3,-5.063,0,0.0455,4.23e-05,0.0591,0.11,0.518,186.253,190573
8,Twista,Slow Jamz,2 December ,3.73,0.559,0.733,2,-5.659,0,0.171,0.314,0.0,0.284,0.611,145.115,316053
9,Coldplay,Clocks,24 March ,3.65,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0112,0.183,0.261,130.969,307880
10,The Postal Service,The District Sleeps Alone Tonight,7 July ,3.7,0.642,0.756,0,-7.049,1,0.0466,0.275,0.0281,0.103,0.192,153.983,283747
11,Death Cab for Cutie,Title and Registration,2003,3.77,0.752,0.544,9,-10.373,1,0.0314,0.343,0.0811,0.109,0.723,115.803,219267
12,My Morning Jacket,One Big Holiday,2003,3.86,0.412,0.917,9,-7.036,0,0.0525,0.0925,0.0143,0.24,0.313,136.85,321373
13,The Paradise,In Love With You,2003,3.69,0.426,0.903,1,-5.822,1,0.0659,0.000135,0.0256,0.699,0.12,121.03,254067
14,The Libertines,Time for Heroes,13 January ,3.68,0.363,0.924,2,-4.181,1,0.0508,0.00995,0.000307,0.0136,0.692,152.51,160280
15,King Geedorah,Anti-Matter,1 September ,3.68,0.865,0.752,0,-2.461,1,0.272,0.39,7.96e-05,0.106,0.791,95.377,206947
16,Nick Cave & The Bad Seeds,Bring It On,24 February ,3.71,0.328,0.552,9,-6.996,0,0.0292,0.00406,0.000256,0.104,0.679,109.056,323453
17,Mew,156,2003,3.75,0.341,0.837,9,-5.055,1,0.048,0.00765,0.000803,0.0602,0.274,130.607,293760
18,Goldfrapp,Train,14 April ,3.64,0.628,0.714,10,-6.07,1,0.0263,0.000547,0.0946,0.0749,0.353,130.011,251080
19,Radiohead,Go to Sleep,18 August ,3.56,0.288,0.86,2,-6.311,0,0.0393,0.103,0.000399,0.102,0.66,161.194,201507
20,A Perfect Circle,The Outsider,2003,3.59,0.328,0.842,6,-6.644,1,0.0882,0.000111,0.803,0.0496,0.422,113.329,246000
21,My Morning Jacket,Mahgeetah,September ,3.68,0.242,0.838,5,-6.052,1,0.061,0.106,0.0852,0.713,0.418,118.185,355853
22,Yeah Yeah Yeahs,Pin,23 June ,3.57,0.68,0.986,7,-4.832,1,0.0599,0.121,0.572,0.152,0.772,107.552,120080
23,Cat Power,Free,1 July ,3.66,0.833,0.673,0,-8.851,1,0.0351,0.322,0.00851,0.117,0.743,133.625,213107
24,Nas,Get Down,2003,3.69,0.835,0.718,1,-6.405,1,0.232,0.0424,0.0,0.258,0.507,94.387,244253
25,Missy Elliott,Pass That Dutch,November ,3.46,0.899,0.645,10,-11.621,0,0.271,0.0435,0.101,0.358,0.348,110.895,217200
26,Nathan Fake,Outhouse,10 November ,3.48,0.637,0.782,9,-9.148,1,0.0413,0.00397,0.927,0.388,0.173,131.991,653533
27,Ryuichi Sakamoto,World Citizen,8 October ,3.53,0.544,0.33,10,-13.274,0,0.0544,0.862,0.000196,0.144,0.355,134.791,363560
28,Blackfield,Hello,November ,3.62,0.43,0.37,0,-11.11,0,0.0266,0.226,0.118,0.23,0.221,65.74,185067
29,Keane,Everybody's Changing,12 May ,3.39,0.515,0.835,0,-3.564,1,0.0293,0.00146,0.000235,0.101,0.457,94.015,215160
30,The Jayhawks,Save it for a Rainy Day,2003,3.79,0.632,0.757,11,-3.536,1,0.0267,0.278,0.0,0.358,0.718,124.805,187733
31,A Perfect Circle,Weak and Powerless,2 December ,3.4,0.483,0.841,1,-7.494,0,0.0523,0.000172,0.861,0.108,0.129,159.747,195133
32,RJD2,The Horror,2003,3.65,0.558,0.894,1,-1.334,1,0.0934,0.0149,0.845,0.182,0.386,95.042,251627
33,t.A.T.u.,30 Minutes,2003,3.54,0.648,0.16,5,-11.775,0,0.0384,0.831,0.00687,0.0853,0.243,129.95,197707
34,DMX,X Gon' Give It to Ya,2003,3.36,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,217587
35,Brendan Benson,Metarie,2003,3.69,0.345,0.625,9,-7.534,1,0.0316,0.111,0.00645,0.341,0.431,140.672,206880
36,Annie Lennox,Into the West,November ,3.7,0.312,0.031,0,-22.035,1,0.037,0.914,8.81e-06,0.0949,0.0399,92.074,347600
37,Audioslave,Show Me How to Live,2 December ,3.39,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840
38,Moby,In My Heart,2003,3.61,0.564,0.789,4,-10.064,1,0.0308,0.00101,0.0456,0.21,0.177,114.016,276693
39,The Blood Brothers,Ambulance vs. Ambulance,3 March ,3.58,0.554,0.995,1,-2.985,1,0.268,0.00638,0.0,0.397,0.173,122.976,175000
40,Wolfsheim,Find You're Here,3 November ,3.64,0.604,0.887,10,-6.351,0,0.0363,0.0681,0.146,0.0953,0.502,119.999,215293
41,Electrelane,On Parade,6 October ,3.64,0.576,0.735,2,-12.361,1,0.0375,0.00013,0.00172,0.11,0.923,162.555,155373
42,Front Line Assembly,Maniacal,21 October ,3.69,0.538,0.97,2,-7.421,1,0.0694,0.000531,0.731,0.0894,0.231,139.973,314907
43,The Distillers,Drain the Blood,2003,3.54,0.393,0.905,0,-4.167,1,0.0912,0.17,9.75e-06,0.236,0.414,168.902,189707
44,Eminem,8 Mile,2003,3.33,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467
45,The Rapture,Sister Saviour,1 December ,3.5,0.814,0.695,2,-6.583,1,0.068,0.00868,0.895,0.063,0.602,117.002,267133
46,Rise Against,Like the Angel,2003,3.63,0.333,0.454,8,-5.501,0,0.0408,0.651,0.0,0.0878,0.224,78.549,195995
47,Girls Aloud,No Good Advice,12 May ,3.37,0.589,0.839,5,-4.96,0,0.045,9.64e-05,1.06e-05,0.0478,0.856,148.01,228267
48,Madonna,Hollywood,7 July ,3.28,0.647,0.588,11,-7.519,0,0.0401,0.0554,0.000225,0.277,0.604,125.992,264400
