track,artist,date,rating
b'Personal Jesus / Policy of Truth [Back to Back]',b'Depeche Mode',2 June 1992 ,3.95
b'Body & Blood',b'clipping.',29 April 2014 ,3.92
b'Giant Steps / Countdown',b'John Coltrane',1961,3.93
,,,
,,,
b'54-46 / Pressure Drop',b'Toots & The Maytals',2003,3.94
b'Erotic City / I Feel for You',b'Prince',1984,3.98
b'Mrs. Robinson / Hazy Shade of Winter',b'Simon & Garfunkel',1992,4.00
b'Pastime Paradise / Black Man',b'Stevie Wonder',1976,4.05
b'Raw Power / Search and Destroy',b'Iggy and The Stooges',1973,3.95
b'Telegraph Road',b'Dire Straits',1982,3.90
b'Luv(sic.)',b'Shing02',2001,3.99
,,,
"b'Oba, l\xc3\xa1 vem ela / O telefone tocou novamente'",b'Jorge Ben',1970,4.03
b'Sketch for Summer / Sketch for Winter',b'The Durutti Column',July 1980 ,3.96
b'Village Green / Animal Farm',b'The Kinks',1969,3.91
b'Entangled / A Trick of the Tail',b'Genesis',March 1976 ,3.93
b'Spirit of the Boogie / Summer Madness',b'Kool & The Gang',13 March 1975 ,3.91
b'Hilly Fields (1892) / 49 Cigars',b'Nick Nicely',8 January 1982 ,3.94
"b""Blues Run the Game / Can't Get Away From My Love""",b'Jackson C. Frank',10 December 1965 ,3.95
,,,
b'Ceremony / In a Lonely Place',b'Joy Division',16 April 2011 ,3.94
b'Failure / Animus',b'Swans',1996,3.90
"b""Those Who Can't, Cheat""",b'Clarence Clarity',2014,4.09
b'Head On / Pill',b'King Gizzard and the Lizard Wizard',16 April 2014 ,3.99
b'Kerosene!',b'Yves Tumor',9 March 2020 ,4.04
b'The Leanover / New Town',b'Life Without Buildings',March 2000 ,3.87
"b""The Thrill of It All / Your Application's Failed""",b'Roxy Music',November 1974 ,3.92
,,,
b'Listen to Me / Hard Times',b'Baby Huey',July 1971 ,3.92
b'Almost With You / Life Speeds Up',b'The Church',20 April 1982 ,3.95
b'I Want to See the Bright Lights Tonight / When I Get to the Border',b'Richard & Linda Thompson',January 1974 ,3.91
"b""La femme d'argent""",b'AIR',1997,3.97
b'Townie',b'Mitski',16 September 2014 ,4.05
b'Eulogy',b'Tool',1997,3.94
b'Johnny B. Goode / Sweet Little Sixteen',b'Chuck Berry',1962,3.92
,,,
b'Body and Soul / Fine Dinner',b'Coleman Hawkins and His Orchestra',December 1939 ,3.92
b'The Queen Is Dead / Oscillate Wildly / Money Changes Everything / The Draize Train',b'The Smiths',16 June 2017 ,3.92
b'This Perfect Day / Do the Robot / L-I-E-S',b'The Saints',1 July 1977 ,3.90
b'Strawberry Letter 23 / Ice Cold Daydream',b'Shuggie Otis',1971,3.91
b'Starry Eyes / Paint Her Face',b'The Records',November 1978 ,3.87
b'Big Bird / Holding On With Both Hands',b'Eddie Floyd',1 February 1968 ,3.91
b'Little Wing',b'Jimi Hendrix',1998,4.01
,,,
b'Johnny (Too) Bad / Johnny (Too) Bad Version',b'The Slicker',1970,3.90
b'The Man Comes Around / Personal Jesus',b'Johnny Cash',2014,4.00
"b'Ruby Tuesday / Have You Seen Your Mother, Baby, Standing in the Shadow?'",b'The Rolling Stones',February 1967 ,3.88
b'Pissing in a River / Ask the Angels',b'Patti Smith',1976,3.95
b'Spark',b'Tori Amos',20 April 1998 ,3.93
,,,
,,,
b'One More Hour',b'Sleater-Kinney',8 June 1998 ,3.91
b'She Calls / Leave Them All Behind',b'Slowdive',1992,3.98
"b""Ballade de Melody Nelson / L'h\xc3\xb4tel particulier""",b'Serge Gainsbourg',1971,3.93
b'Isi / After Eight',b'NEU!',20 June 1975 ,3.95
"b""Ain't Got No - I Got Life / Real, Real""",b'Nina Simone',November 1968 ,3.89
"b""Fuzzy / We're Coming Down""",b'Grant Lee Buffalo',1992,3.90
b'1970 / Not Right',b'The Stooges',August 2005 ,4.10
,,,
b'Spacelab / The Model',b'Kraftwerk',1978,3.93
b'Llorando',b'Rebekah Del Rio',May 2001 ,3.88
b'Ghost Hardware',b'Burial',10 December 2007 ,4.10
"b""Ain't Misbehavin' / Sweet Savannah Sue""",b'Thomas Waller',September 1929 ,3.87
b'Replica',b'Oneohtrix Point Never',11 October 2011 ,4.01
b'Shine On / Love',b'The House of Love',May 1987 ,3.86
"b""Don't Want to Know If You Are Lonely / All Work and No Play""",b'H\xc3\xbcsker D\xc3\xbc',17 February 1986 ,3.88
,,,
b'I Saw the Light / Six More Miles (To the Graveyard)',b'Hank Williams with His Drifting Cowboys',September 1948 ,3.87
"b""Sweet Home Chicago / Walkin' Blues""",b'Robert Johnson',July 1937 ,3.88
b'Sometimes',b'James',31 August 1993 ,3.88
"b'Song for My Father, Part 1 / Song for My Father, Part 2'",b'The Horace Silver Quintet',January 1965 ,3.97
b'Sugar Man / Inner City Blues',b'Rodriguez',1972,3.92
"b'Here, There and Everywhere / Good Day Sunshine'",b'The Beatles',24 January 1996 ,3.87
b'Orpheus / Mother and Child',b'David Sylvian',April 1988 ,3.88
,,,
b'\xe6\x9c\xac\xe8\x83\xbd (Honn\xc5\x8d)',b'\xe6\xa4\x8e\xe5\x90\x8d\xe6\x9e\x97\xe6\xaa\x8e [Sheena Ringo]',27 October 1999 ,3.92
b'Tears / Paradiso',b'The Chameleons',June 1986 ,3.91
b'Kerosene / Il Duce',b'Big Black',1992,3.86
"b""Different Drum / I've Got to Know""",b'The Stone Poneys',October 1967 ,3.89
"b""She's Gone / What Am I Going to Do""",b'The Dovers',September 1965 ,3.94
b'Riders on the Storm / Love Her Madly',b'The Doors',1978,4.16
b'Heroes and Villains Part 1 / Heroes and Villains Part 2',b'The Beach Boys',1 November 2011 ,4.01
,,,
b'Travelling Light',b'Tindersticks',7 August 1995 ,3.87
b'O-o-h Child / Dear Prudence',b'The 5 Stairsteps',February 1970 ,3.88
b'( ) [Untitled #4]',b'Sigur R\xc3\xb3s',28 October 2002 ,3.95
b'Da Summer / Slobs on the Knob',b'Three 6 Mafia',1999,3.89
"b""It's Not Up to You""",b'Bj\xc3\xb6rk',2001,3.87
b'Night Shift',b'Lucy Dacus',12 December 2017 ,3.91
b'Tab\xc3\xba',b'Gustavo Cerati',2000,4.00
,,,
