,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Camera Obscura,"Lloyd, I'm Ready to Be Heartbroken",15 May ,4.01,0.329,0.857,11,-3.681,1,0.0496,0.00878,0.0725,0.156,0.476,143.482,231160
1,Panda Bear,Bro's,4 December ,3.98,0.403,0.745,2,-11.099,1,0.0449,0.0272,0.52,0.132,0.609,130.569,750307
2,Arcade Fire,Intervention,28 December ,3.97,0.365,0.698,0,-6.643,1,0.037,0.0349,7.85e-05,0.215,0.233,121.403,259000
3,TV on the Radio,Wolf Like Me,17 July ,3.97,0.363,0.787,7,-5.071,1,0.0429,0.00177,0.00446,0.531,0.201,175.919,279293
4,Sonic Youth,Incinerate,2006,4.0,0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,295813
5,Belle and Sebastian,Another Sunny Day,January ,3.95,0.402,0.785,8,-5.441,1,0.0419,0.00343,0.0,0.0624,0.838,156.108,244400
6,Band of Horses,The Funeral,21 May ,3.87,0.316,0.769,0,-5.283,0,0.0422,0.0142,0.0,0.0928,0.127,122.507,321147
7,Muse,Starlight,4 September ,3.62,0.55,0.874,4,-4.046,1,0.0321,0.000436,1.02e-05,0.206,0.318,121.61,240213
8,Arctic Monkeys,When the Sun Goes Down,16 January ,3.67,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,202133
9,Arctic Monkeys,Leave Before the Lights Come On,25 July ,3.67,0.365,0.887,0,-4.579,1,0.0417,0.00272,2.18e-05,0.0923,0.916,150.718,233947
10,Mew,The Zookeeper's Boy,17 April ,3.77,0.541,0.78,5,-6.923,0,0.0308,0.000117,4.05e-06,0.157,0.553,120.85,283120
11,The Radio Dept.,The Worst Taste in Music,15 March ,3.77,0.447,0.835,4,-4.2,1,0.0487,0.148,0.868,0.143,0.168,99.978,201387
12,Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth,25 July ,3.66,0.459,0.97,0,-5.179,1,0.0638,0.00695,0.000141,0.128,0.394,141.609,343773
13,TV on the Radio,Province,8 May ,3.72,0.557,0.857,1,-7.835,1,0.051,0.358,0.00845,0.148,0.305,130.054,277013
14,Madonna,Sorry,28 February ,3.61,0.589,0.877,0,-6.229,0,0.046,0.00121,0.013,0.169,0.443,132.971,281880
15,Justin Timberlake,My Love,13 November ,3.54,0.772,0.68,11,-5.881,0,0.224,0.277,1.17e-05,0.682,0.807,119.953,276160
16,Kanye West,Drive Slow,6 June ,3.58,0.593,0.592,11,-8.217,1,0.29,0.031,1.12e-05,0.229,0.488,81.33,272227
17,Jay Reatard,Hammer I Miss You,2006,3.75,0.472,0.954,9,-1.867,1,0.041,0.00951,0.000157,0.326,0.4,134.069,161133
18,Jenny Lewis,Rise Up With Fists!!,6 March ,3.7,0.556,0.672,1,-5.713,0,0.0281,0.351,0.0,0.271,0.435,75.89,216613
19,Morrissey,The Youngest Was the Most Loved,5 June ,3.59,0.474,0.861,0,-3.92,1,0.0473,0.389,0.0,0.268,0.439,131.994,179533
20,Dixie Chicks,Not Ready to Make Nice,2006,3.51,0.425,0.554,6,-4.145,1,0.0298,0.134,8.56e-05,0.0963,0.288,83.917,237297
21,Neko Case,Maybe Sparrow,2006,3.77,0.279,0.566,0,-5.724,1,0.0361,0.431,0.0,0.109,0.262,184.628,157520
